地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,28.6,+1.9,かなり高い,76.5,141,多い,72.0,114,平年並
旧東,28.9,+1.6,／,93.5,145,／,／,／,／
北大東,29.3,+1.7,／,79.0,134,／,／,／,／
