要素名／順位,1位,2位,3位,4位,5位,6位,7位,8位,9位,10位,統計期間
日降水量 (mm),249.0 (1994/5/27),200.6 (1967/5/31),199.2 (1967/5/21),198.5 (1947/5/28),166.5 (2000/5/20),166.0 (2015/5/25),162.3 (1962/5/19),161.0 (2020/5/22),147.5 (1971/5/22),144.0 (2020/5/23),1942/5 2025/5
日最大10分間降水量 (mm),21.5 (1966/5/22),20.0 (1967/5/21),19.5 (1973/5/29),19.0 (2025/5/22),19.0 (2010/5/29),17.0 (1990/5/10),16.5 (2000/5/20),16.5 (1994/5/27),16.2 (1956/5/26),16.1 (1965/5/7),1942/5 2025/5
日最大1時間降水量 (mm),81.6 (1966/5/22),80.0 (2000/5/20),66.5 (1994/5/27),66.4 (1967/5/21),64.5 (2010/5/29),51.0 (1990/5/10),46.6 (1947/5/28),46.0 (2025/5/22),45.0 (1970/5/14),43.5 (1969/5/19),1942/5 2025/5
月最大24時間降水量 (mm),249.3 (1947/5/29),249.0 (1994/5/27),246.0 (2015/5/25),220.8 (1967/5/31),220.0 (2000/5/19),170.5 (2020/5/22),167.9 (1962/5/20),152.9 (1958/5/22),148.5 (1971/5/22),143.5 (1970/5/14),1946/5 2025/5
月降水量の多い方から (mm),566.5 (2020/5),518.9 (1947/5),518.0 (1994/5),502.4 (1967/5),491.0 (2022/5),439.5 (2025/5),417.5 (2001/5),405.6 (1966/5),394.0 (2000/5),375.0 (1970/5),1942/5 2025/5
月降水量の少ない方から (mm),18.5 (2018/5),29.0 (2007/5),33.0 (1986/5),37.0 (1977/5),45.1 (1963/5),65.8 (1957/5),67.1 (1961/5),69.0 (1985/5),73.5 (2023/5),75.5 (1980/5),1942/5 2025/5
日最高気温の高い方から (℃),31.9 (2021/5/27),31.9 (2004/5/17),31.6 (2015/5/16),31.5 (2021/5/28),31.5 (2021/5/25),31.5 (2016/5/30),31.5 (2004/5/15),31.4 (2021/5/22),31.4 (2016/5/29),31.4 (2015/5/14),1942/5 2025/5
日最高気温の低い方から (℃),20.0 (1960/5/22),20.3 (1979/5/19),20.3 (1945/5/8),20.4 (1994/5/7),20.6 (1979/5/18),20.7 (1945/5/24),20.8 (2000/5/22),20.8 (1996/5/16),20.8 (1973/5/12),20.8 (1953/5/16),1942/5 2025/5
日最低気温の高い方から (℃),27.5 (2021/5/28),27.3 (2021/5/27),26.9 (2024/5/27),26.9 (2016/5/29),26.7 (2021/5/24),26.7 (2021/5/23),26.7 (1999/5/27),26.6 (2021/5/22),26.6 (1961/5/29),26.5 (2025/5/21),1942/5 2025/5
日最低気温の低い方から (℃),10.6 (1971/5/16),10.8 (1974/5/1),11.4 (1953/5/10),11.5 (1992/5/5),12.2 (1971/5/17),12.7 (1970/5/1),13.1 (1971/5/8),13.1 (1971/5/7),13.2 (1970/5/13),13.4 (2025/5/3),1942/5 2025/5
月平均気温の高い方から (℃),26.7 (1998/5),26.1 (2021/5),26.0 (2016/5),25.8 (1956/5),25.7 (2015/5),25.4 (2004/5),25.4 (1954/5),25.3 (2018/5),25.3 (1963/5),25.2 (1961/5),1942/5 2025/5
月平均気温の低い方から (℃),21.9 (1945/5),22.1 (1996/5),22.2 (1968/5),22.4 (1979/5),22.6 (2000/5),22.7 (1953/5),22.8 (1992/5),22.8 (1947/5),23.0 (1984/5),23.0 (1966/5),1942/5 2025/5
日最小相対湿度 (%),34 (2002/5/27),35 (2018/5/4),39 (1977/5/18),40 (2009/5/1),40 (1973/5/11),41 (2021/5/2),42 (2009/5/2),42 (1996/5/9),42 (1992/5/28),42 (1992/5/22),1958/5 2025/5
日最大風速・風向 (m/s),31.2 南南東 (1943/5/19),24.7 北 (1951/5/9),20.4 北 (1951/5/10),19.7 北東 (2004/5/20),19.6 北北東 (2000/5/20),19.3 北北西 (1991/5/16),17.5 南南東 (2003/5/30),17.0 西 (1946/5/30),16.0 北東 (1953/5/19),15.7 南西 (1995/5/15),1942/5 2025/5
日最大瞬間風速・風向 (m/s),39.4 北北西 (1991/5/16),35.3 北東 (2004/5/20),35.2 北北東 (2000/5/20),34.3 南南東 (1943/5/19),32.5 北 (1951/5/9),31.1 東南東 (2003/5/30),29.1 北 (1951/5/10),28.6 西南西 (2005/5/8),27.0 東 (1996/5/17),25.7 西 (2002/5/18),1942/5 2025/5
月間日照時間の多い方から (時間),289.4 (1963/5),279.9 (2018/5),256.7 (1998/5),252.1 (2002/5),240.4 (1977/5),238.3 (1991/5),231.2 (1985/5),230.6 (2021/5),222.8 (2009/5),221.5 (1982/5),1943/5 2025/5
月間日照時間の少ない方から (時間),70.6 (2022/5),88.0 (1979/5),99.5 (1958/5),102.9 (1965/5),104.9 (1955/5),107.5 (2020/5),108.7 (2011/5),110.1 (1996/5),110.4 (1988/5),112.7 (2001/5),1943/5 2025/5
降雪の深さ日合計 (cm),-- (2019/5/31),-- (2019/5/30),-- (2019/5/29),-- (2019/5/28),-- (2019/5/27),-- (2019/5/26),-- (2019/5/25),-- (2019/5/24),-- (2019/5/23),-- (2019/5/22),1953/5 2019/5
降雪の深さ月合計 (cm),-- (2019/5),-- (2018/5),-- (2017/5),-- (2016/5),-- (2015/5),-- (2014/5),-- (2013/5),-- (2012/5),-- (2011/5),-- (2010/5),1953/5 2019/5
月最深積雪の大きい方から (cm),-- (2019/5),-- (2018/5),-- (2017/5),-- (2016/5),-- (2015/5),-- (2014/5),-- (2013/5),-- (2012/5),-- (2011/5),-- (2010/5),1942/5 2019/5
月最深積雪の小さい方から (cm),-- (2019/5),-- (2018/5),-- (2017/5),-- (2016/5),-- (2015/5),-- (2014/5),-- (2013/5),-- (2012/5),-- (2011/5),-- (2010/5),1942/5 2019/5
