日,日降水量(mm),日最大1時間降水量(mm),日最大10分間降水量(mm),日平均気温(℃),日最高気温(℃),日最低気温(℃),日平均湿度(％),日最小湿度(％),日平均風速(m/s),日最大風速(m/s),日最大風向(16方位),日最大瞬間風速(m/s),日最大瞬間風向(16方位),日最多風向(16方位),日照時間(h),日降雪の深さ合計(cm),日最深積雪(cm)
1,33.5,30.5,21.5,23.0,25.8,20.5,///,///,2.8,8.0,西北西,13.9,北西,東,///,///,///
2,0.0,4.0,0.0,22.2,25.0,18.5,///,///,3.8,7.3,北北西,10.8,北西,北北西,///,///,///
3,0.0,0.0,0.0,21.3,24.7,15.5,///,///,2.1,4.4,南,7.2,南,南,///,///,///
4,0.0,0.0,0.0,23.6,25.7,21.9,///,///,2.7,6.4,南,8.7,南,南南東,///,///,///
5,46.0,30.0,11.0,23.8,25.0,22.7,///,///,4.4,9.6,南南西,12.9,南南西,南東,///,///,///
6,3.5,1.5,1.0,24.1,26.0,22.5,///,///,5.0,7.6,南南西,11.3,西南西,南西,///,///,///
7,0.0,0.0,0.0,22.3,24.5,21.3,///,///,3.6,5.5,北東,8.2,北東,北東,///,///,///
8,0.5,0.5,0.5,22.4,24.2,21.0,///,///,3.6,5.7,北東,9.8,東,東北東,///,///,///
9,0.0,0.0,0.0,25.0,27.4,22.5,///,///,4.7,7.2,南東,11.8,南東,南,///,///,///
10,41.5,21.5,7.5,24.1,27.7,22.4,///,///,3.7,7.1,南,9.8,南,南,///,///,///
11,34.5,15.0,10.5,23.1,26.0,20.3,///,///,3.2,11.9,北,15.4,北,東,///,///,///
12,8.5,6.5,4.0,21.2,24.0,19.5,///,///,5.8,8.8,北北東,11.8,北北東,北東,///,///,///
13,0.5,0.5,0.5,21.9,23.0,20.3,///,///,3.9,5.7,北東,8.2,北東,北東,///,///,///
14,0.0,0.0,0.0,23.6,25.7,22.4,///,///,3.1,6.3,北東,8.2,東北東,東北東,///,///,///
15,0.0,0.0,0.0,24.2,26.6,22.9,///,///,2.3,4.3,北東,7.2,東北東,東北東,///,///,///
16,0.0,0.0,0.0,25.5,27.7,23.9,///,///,1.9,3.5,東,5.7,南東,南東,///,///,///
17,0.0,0.0,0.0,26.7,29.9,25.0,///,///,3.6,6.3,南,9.3,南南東,南,///,///,///
18,0.0,0.0,0.0,26.9,29.8,25.1,///,///,3.6,5.3,南南東,7.7,南,南,///,///,///
19,70.5,34.0,14.5,26.8,30.7,23.1,///,///,3.7,6.8,南,10.3,南南西,南,///,///,///
20,31.0,20.5,6.5,26.9,30.2,23.5,///,///,3.9,7.3,南,10.3,南,南,///,///,///
21,0.0,0.0,0.0,28.0,30.8,26.1,///,///,4.7,7.2,南,9.8,南南西,南,///,///,///
22,75.0,48.5,21.0,25.7,28.3,22.6,///,///,3.4,8.2,南西,14.4,南,南南西,///,///,///
23,1.0,0.5,0.5,26.9,29.7,23.7,///,///,2.2,4.2,南,6.2,南南西,南南東,///,///,///
24,9.5,5.0,5.0,27.7,30.2,24.8,///,///,5.1,8.8,南西,14.9,南西,南南西,///,///,///
25,18.0,12.5,7.0,24.7,27.3,21.6,///,///,4.2,7.1,北,10.3,北,北,///,///,///
26,11.0,4.5,1.5,22.3,23.4,20.2,///,///,5.8,9.0,北北東,12.3,北東,北東,///,///,///
27,1.0,0.5,0.5,23.1,25.9,21.2,///,///,5.2,6.9,北東,9.8,北東,北東,///,///,///
28,0.0,0.0,0.0,24.2,26.5,22.8,///,///,4.7,5.8,北東,8.7,東北東,北東,///,///,///
29,74.5,14.5,8.5,25.0,28.0,23.4,///,///,4.5,7.6,南,11.8,西,南西,///,///,///
30,1.5,1.5,1.0,23.6,26.4,22.0,///,///,5.3,7.7,北北西,11.3,北北西,北北西,///,///,///
31,0.0,0.0,0.0,23.2,26.1,20.2,///,///,3.3,5.4,北西,8.7,北西,北西,///,///,///
