地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,23.3,-0.1,平年並,116.5,293,かなり多い,34.6,56,かなり少ない
旧東,23.2,-0.4,／,125.0,372,／,／,／,／
北大東,23.3,-0.4,／,86.5,255,／,／,／,／
