地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,24.5,+0.4,高い,439.5,198,かなり多い,140.5,82,少ない
旧東,24.3,+0.0,／,461.5,219,／,／,／,／
北大東,24.4,+0.0,／,331.5,157,／,／,／,／
