期間,概況文
月,大東島地方は、高気圧に覆われて晴れた日もあったが、梅雨前線の影響で雨の日もあった。
上旬,大東島地方は、前線や前線に流れ込む湿った空気や高気圧のへりを回り込む湿った空気の影響で曇りや雨の日が多かった。 5日は荒れた天気となった。 1日と10日は大雨となった。
中旬,大東島地方は、高気圧に覆われて晴れた日もあったが、前線の影響で曇りや雨の日もあった。 11日と19日、20日は大雨となった。
下旬,大東島地方は、梅雨前線の影響で雨の日もあったが、高気圧に覆われて晴れた日もあった。 22日と29日は大雨となった。
