日,日降水量(mm),日最大1時間降水量(mm),日最大10分間降水量(mm),日平均気温(℃),日最高気温(℃),日最低気温(℃),日平均湿度(％),日最小湿度(％),日平均風速(m/s),日最大風速(m/s),日最大風向(16方位),日最大瞬間風速(m/s),日最大瞬間風向(16方位),日最多風向(16方位),日照時間(h),日降雪の深さ合計(cm),日最深積雪(cm)
1,22.0,20.0,16.0,23.2,25.7,20.7,///,///,5.6,12.5,南南東,14.9,南南東,東南東,///,///,///
2,0.5,2.0,0.5,22.5,25.2,19.0,///,///,4.4,7.9,北西,10.3,北西,北北西,///,///,///
3,0.0,0.0,0.0,21.1,24.8,15.1,///,///,2.7,5.8,南南東,7.2,南南東,南,///,///,///
4,0.0,0.0,0.0,23.7,25.7,22.4,///,///,3.3,6.4,南,7.7,南,南,///,///,///
5,34.0,13.0,9.0,23.9,24.9,22.8,///,///,6.9,15.4,南南東,22.1,南南東,南東,///,///,///
6,1.5,1.0,0.5,24.0,26.1,22.6,///,///,5.2,7.7,西,11.3,西北西,西,///,///,///
7,0.0,0.0,0.0,22.7,25.6,21.5,///,///,4.7,6.4,北東,8.2,北東,東北東,///,///,///
8,0.0,0.0,0.0,22.7,24.3,21.5,///,///,8.1,11.8,東,14.4,東南東,東,///,///,///
9,0.0,0.0,0.0,24.8,27.5,22.3,///,///,7.1,10.6,東南東,12.3,東南東,南,///,///,///
10,28.5,15.5,4.5,24.1,27.4,22.5,///,///,4.1,7.5,南南西,10.3,南,南南西,///,///,///
11,42.5,15.5,7.0,22.8,25.2,20.3,///,///,5.2,12.4,北,15.9,北,東,///,///,///
12,4.5,4.0,3.0,21.4,24.5,19.6,///,///,7.1,10.6,北北東,13.4,北北東,北東,///,///,///
13,0.0,0.0,0.0,22.1,23.3,20.6,///,///,5.9,7.9,東北東,9.8,東北東,北東,///,///,///
14,0.0,0.0,0.0,23.9,26.2,22.5,///,///,5.4,8.4,東,9.3,東南東,東北東,///,///,///
15,0.5,0.5,0.5,24.4,27.1,23.0,///,///,5.1,7.7,東南東,9.3,東南東,東,///,///,///
16,0.0,0.0,0.0,25.5,27.9,23.9,///,///,4.2,5.8,南東,6.7,東南東,東南東,///,///,///
17,0.0,0.0,0.0,26.4,29.0,24.5,///,///,4.3,6.8,南南東,8.7,南,南南東,///,///,///
18,0.0,0.0,0.0,26.8,29.5,25.0,///,///,3.5,6.3,南南東,7.2,南南東,南,///,///,///
19,64.0,21.0,7.0,26.8,30.3,23.5,///,///,4.1,6.7,南南東,8.2,南,南,///,///,///
20,12.5,6.5,2.0,27.3,30.1,23.7,///,///,5.3,7.7,南,9.8,南,南,///,///,///
21,0.0,0.0,0.0,28.2,30.8,26.6,///,///,5.9,7.6,南,9.3,南,南,///,///,///
22,30.5,24.5,8.0,25.6,28.6,23.0,///,///,3.9,10.0,西,17.5,西,南南西,///,///,///
23,0.5,0.5,0.5,27.0,30.0,23.5,///,///,2.6,4.8,南南東,5.7,南南東,南南東,///,///,///
24,2.0,1.0,1.0,27.6,30.2,24.5,///,///,5.3,8.1,南西,11.8,南西,南南西,///,///,///
25,16.5,14.5,8.5,24.6,27.4,21.7,///,///,4.9,7.2,北,9.8,西南西,北,///,///,///
26,14.0,7.0,4.5,22.4,23.8,20.0,///,///,7.2,10.6,北北東,14.4,北北東,北北東,///,///,///
27,0.0,0.0,0.0,23.5,26.1,21.6,///,///,6.6,10.0,東北東,11.8,東,北東,///,///,///
28,0.0,0.0,0.0,24.6,27.1,22.9,///,///,6.4,9.5,東北東,11.3,東北東,東北東,///,///,///
29,50.0,10.0,4.5,24.9,27.9,23.2,///,///,5.8,9.6,東,13.4,西,南,///,///,///
30,7.5,7.5,3.0,23.6,25.9,22.2,///,///,6.1,8.2,北西,11.8,北西,北西,///,///,///
31,0.0,0.0,0.0,23.0,25.8,19.2,///,///,4.3,6.8,北西,9.8,北西,北西,///,///,///
