地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,25.2,+0.6,平年並,186.5,157,多い,47.8,87,平年並
旧東,24.9,+0.2,／,191.5,157,／,／,／,／
北大東,25.0,+0.2,／,121.0,104,／,／,／,／
