地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,25.0,+0.9,高い,136.5,215,かなり多い,58.1,108,平年並
旧東,24.7,+0.3,／,145.0,263,／,／,／,／
北大東,24.7,+0.1,／,124.0,207,／,／,／,／
