地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,22.5,+1.8,かなり高い,8.0,24,平年並,58.6,113,平年並
旧東,22.5,+1.8,／,7.0,27,／,／,／,／
北大東,22.7,+1.9,／,5.0,16,／,／,／,／
