月,月合計降水量(mm),月間最大日降水量(mm),月間最大1時間降水量(mm),月間最大10分間降水量(mm),月間平均日平均気温(℃),月間平均日最高気温(℃),月間平均日最低気温(℃),月間最高日気温(℃),月間最低日気温(℃),月間平均湿度(％),月間最小湿度(％),月間平均風速(m/s),月間最大風速(m/s),月間最大風向(16方位),月間最大瞬間風速(m/s),月間最大瞬間風向(16方位),日照時間(h),月合計降雪深(cm),月最大日降雪深(cm),月最深積雪(cm)
1,75.5,18.5,14.0,7.0,18.1,20.9,15.0,23.8,11.4,///,///,5.8,12.9,北東,17.5,北北西,///,///,///,///
2,19.0,8.5,6.0,3.0,18.9,21.9,15.6,25.1,10.0,///,///,5.0,14.0,北,19.5,北西,///,///,///,///
3,12.5,4.0,4.0,2.0,20.2,23.3,18.0,26.1,12.6,///,///,6.0,14.9,北北西,20.6,北北西,///,///,///,///
4,67.0,36.5,18.5,8.5,23.1,26.1,20.8,28.5,15.5,///,///,4.8,13.8,南東,16.5,南東,///,///,///,///
5,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
6,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
7,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
8,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
9,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
10,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
11,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
12,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
