地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,22.7,+0.2,平年並,46.5,144,多い,71.4,148,かなり多い
旧東,23.0,+0.8,／,50.5,130,／,／,／,／
北大東,22.9,+0.5,／,44.5,119,／,／,／,／
