地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,22.9,+1.3,かなり高い,56.5,50,少ない,200.6,131,かなり多い
旧東,23.0,+1.5,／,59.0,57,／,／,／,／
北大東,23.1,+1.5,／,67.0,60,／,／,／,／
