地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,23.7,+2.2,かなり高い,2.0,4,少ない,70.6,132,多い
旧東,23.6,+1.9,／,1.5,4,／,／,／,／
北大東,23.8,+2.0,／,17.5,39,／,／,／,／
