要素,平年降水量(mm),平年平均気温(℃),平年最高気温(℃),平年最低気温(℃),平年日照時間(h),平年全天日射量(MJ/㎡),平年平均雲量,平年降雪の深さ合計(cm),平年最深積雪(cm)
統計期間,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2016,1991～ 2020,1991～ 2020
資料年数,30,30,30,30,30,30,26,30,30
1日,3.1,20.4,23.5,17.4,5.3,17.0,6.8 @,---,---
2日,3.2,20.4,23.5,17.5,5.3,17.0,6.9 @,---,---
3日,3.2,20.5,23.6,17.6,5.2,17.0,6.9 @,---,---
4日,3.3,20.6,23.7,17.7,5.2,17.0,6.9 @,---,---
5日,3.4,20.7,23.7,17.8,5.2,17.1,7.0 @,---,---
6日,3.5,20.7,23.8,17.9,5.2,17.1,7.0 @,---,---
7日,3.6,20.8,23.9,18.0,5.2,17.1,7.0 @,---,---
8日,3.7,20.9,24.0,18.1,5.2,17.2,7.1 @,---,---
9日,3.9,21.0,24.1,18.2,5.2,17.2,7.1 @,---,---
10日,4.0,21.1,24.1,18.2,5.2,17.3,7.1 @,---,---
11日,4.1,21.2,24.2,18.3,5.2,17.3,7.1 @,---,---
12日,4.2,21.2,24.3,18.4,5.2,17.4,7.1 @,---,---
13日,4.3,21.3,24.4,18.5,5.2,17.5,7.1 @,---,---
14日,4.4,21.4,24.5,18.6,5.2,17.6,7.1 @,---,---
15日,4.4,21.5,24.6,18.8,5.3,17.6,7.1 @,---,---
16日,4.4,21.7,24.7,18.9,5.3,17.7,7.1 @,---,---
17日,4.4,21.8,24.8,19.0,5.3,17.8,7.1 @,---,---
18日,4.3,21.9,24.9,19.1,5.3,17.9,7.1 @,---,---
19日,4.2,22.0,25.0,19.3,5.3,17.9,7.1 @,---,---
20日,4.1,22.1,25.1,19.4,5.3,18.0,7.2 @,---,---
21日,3.9,22.2,25.2,19.5,5.2,18.0,7.2 @,---,---
22日,3.8,22.3,25.3,19.6,5.2,18.0,7.3 @,---,---
23日,3.7,22.4,25.3,19.7,5.2,17.9,7.3 @,---,---
24日,3.6,22.4,25.4,19.8,5.1,17.9,7.4 @,---,---
25日,3.5,22.5,25.5,19.9,5.1,18.0,7.4 @,---,---
26日,3.4,22.6,25.5,19.9,5.1,18.0,7.4 @,---,---
27日,3.4,22.6,25.6,20.0,5.2,18.1,7.5 @,---,---
28日,3.4,22.7,25.7,20.0,5.2,18.2,7.5 @,---,---
29日,3.5,22.7,25.7,20.1,5.3,18.3,7.4 @,---,---
30日,3.5,22.8,25.8,20.2,5.4,18.5,7.4 @,---,---
