地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,24.4,+0.3,高い,319.5,144,多い,132.5,77,少ない
旧東,24.4,+0.1,／,317.5,151,／,／,／,／
北大東,24.5,+0.1,／,336.5,160,／,／,／,／
