期間,概況文
月,大東島地方は、梅雨前線の影響で雨の日もあったが、高気圧に覆われて晴れた日もあった。
上旬,大東島地方は、梅雨前線の影響で雨の日もあったが、高気圧に覆われて晴れた日もあった。 6日は大雨となった。
中旬,大東島地方は、高気圧のへりにあたり曇りの日もあったが、梅雨前線の影響で雨の日もあった。 11日と19日は大雨となった。
下旬,大東島地方は、梅雨前線に流れ込む湿った空気や梅雨前線の影響で雨の日が多かった。 24日は大雨となった。
