地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,26.4,+1.8,かなり高い,44.0,37,少ない,42.1,77,少ない
旧東,26.2,+1.5,／,33.0,27,／,／,／,／
北大東,26.3,+1.5,／,52.0,45,／,／,／,／
