地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,23.0,-0.4,平年並,126.5,319,かなり多い,53.9,87,平年並
旧東,23.0,-0.6,／,132.0,393,／,／,／,／
北大東,23.1,-0.6,／,131.5,388,／,／,／,／
