地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,23.7,-0.4,平年並,149.0,234,かなり多い,36.5,68,少ない
旧東,23.7,-0.7,／,152.5,277,／,／,／,／
北大東,24.0,-0.6,／,153.0,256,／,／,／,／
