日,日降水量(mm),日最大1時間降水量(mm),日最大10分間降水量(mm),日平均気温(℃),日最高気温(℃),日最低気温(℃),日平均湿度(％),日最小湿度(％),日平均風速(m/s),日最大風速(m/s),日最大風向(16方位),日最大瞬間風速(m/s),日最大瞬間風向(16方位),日最多風向(16方位),日照時間(h),日降雪の深さ合計(cm),日最深積雪(cm)
1,0.0,0.0,0.0,22.9,25.1,20.3,///,///,5.0,7.6,北北西,12.9,西南西,北西,///,///,///
2,0.0,0.0,0.0,21.9,24.8,18.5,///,///,2.4,4.8,北,6.7,北,東南東,///,///,///
3,0.0,0.0,0.0,25.3,29.3,22.1,///,///,4.2,7.3,南,9.8,南南西,南,///,///,///
4,0.0,0.0,0.0,23.8,28.2,21.3,///,///,6.5,9.9,北,13.4,北,北,///,///,///
5,7.5,3.5,1.5,21.9,23.5,20.7,///,///,5.0,7.2,北東,10.3,北東,北東,///,///,///
6,81.5,38.5,11.5,22.9,25.7,21.4,///,///,3.3,9.1,北,11.8,北,北東,///,///,///
7,3.0,3.0,2.5,24.3,27.4,22.3,///,///,2.5,7.1,南東,9.8,南東,南南東,///,///,///
8,0.0,0.0,0.0,24.9,29.5,21.3,///,///,2.3,5.2,北北東,7.7,北,北北東,///,///,///
9,28.5,8.5,3.0,20.3,23.1,18.2,///,///,7.2,11.6,北東,17.0,北東,北北東,///,///,///
10,11.5,3.5,1.0,21.7,23.1,19.8,///,///,3.4,4.9,東北東,9.8,東北東,東北東,///,///,///
11,79.5,26.5,7.0,22.6,24.0,20.7,///,///,3.6,12.0,北東,16.5,北東,東北東,///,///,///
12,7.0,1.5,0.5,22.2,23.6,20.8,///,///,2.7,6.7,南東,10.8,南東,東南東,///,///,///
13,0.0,0.0,0.0,23.7,27.1,21.2,///,///,2.6,5.6,北北東,7.2,北,北北東,///,///,///
14,0.0,0.0,0.0,23.4,25.5,22.1,///,///,3.7,5.5,北東,9.8,北東,北東,///,///,///
15,0.0,0.0,0.0,23.6,26.1,22.2,///,///,5.2,6.9,北東,11.3,北東,北東,///,///,///
16,0.0,0.0,0.0,23.9,26.1,22.7,///,///,6.6,8.4,北東,13.4,北東,北東,///,///,///
17,0.0,0.0,0.0,23.1,25.5,22.3,///,///,6.4,8.6,北東,14.9,東北東,北東,///,///,///
18,13.0,5.0,3.0,23.5,25.2,21.7,///,///,5.8,8.5,北東,12.9,北東,北東,///,///,///
19,52.5,37.0,16.5,25.1,27.0,20.9,///,///,4.3,8.0,南東,11.8,南東,南南東,///,///,///
20,0.5,0.5,0.5,25.8,28.9,23.6,///,///,4.0,6.4,南西,9.3,南西,南南西,///,///,///
21,0.0,0.0,0.0,25.6,29.4,22.6,///,///,3.1,5.7,南南西,8.2,南西,南西,///,///,///
22,0.5,0.5,0.5,25.8,28.8,24.0,///,///,3.6,6.2,南西,8.2,西,南西,///,///,///
23,10.0,2.5,1.0,25.7,26.9,23.7,///,///,4.4,7.1,南西,9.8,西南西,南南西,///,///,///
24,19.0,5.5,4.5,25.5,28.0,24.0,///,///,3.0,6.6,西南西,10.8,西南西,西,///,///,///
25,0.0,0.0,0.0,26.0,28.7,24.5,///,///,1.6,4.0,西南西,6.2,南西,西,///,///,///
26,0.5,0.5,0.5,26.4,29.5,25.2,///,///,3.5,6.2,南西,8.7,南西,南南西,///,///,///
27,0.0,0.0,0.0,27.2,30.0,25.4,///,///,5.6,8.3,南西,11.3,南南西,南南西,///,///,///
28,3.0,3.0,1.0,26.5,29.5,25.0,///,///,5.0,7.8,南西,11.8,南西,南西,///,///,///
29,0.0,0.0,0.0,26.0,28.6,24.7,///,///,2.5,5.0,北北西,6.7,北北東,北,///,///,///
30,0.0,0.0,0.0,26.0,28.9,24.6,///,///,2.8,5.3,北東,7.7,北東,東北東,///,///,///
31,0.0,0.0,0.0,27.6,29.4,26.0,///,///,3.1,6.4,東,12.3,東,東,///,///,///
