日,日降水量(mm),日最大1時間降水量(mm),日最大10分間降水量(mm),日平均気温(℃),日最高気温(℃),日最低気温(℃),日平均湿度(％),日最小湿度(％),日平均風速(m/s),日最大風速(m/s),日最大風向(16方位),日最大瞬間風速(m/s),日最大瞬間風向(16方位),日最多風向(16方位),日照時間(h),日降雪の深さ合計(cm),日最深積雪(cm)
1,19.0,5.0,2.0,18.5,20.3,16.5,///,///,7.6,11.8,北,14.9,北,北東,///,///,///
2,0.5,0.5,0.5,17.0,19.8,15.0,///,///,7.8,10.4,北,15.9,北,北北西,///,///,///
3,0.0,0.0,0.0,16.1,18.9,13.9,///,///,6.8,9.8,北北西,14.4,北北西,北,///,///,///
4,0.0,0.0,0.0,17.1,18.9,13.6,///,///,3.3,6.5,北,9.3,北,北北東,///,///,///
5,0.0,0.0,0.0,17.4,21.8,12.5,///,///,1.8,4.0,南西,7.2,西南西,南西,///,///,///
6,1.0,0.5,0.5,18.8,22.0,15.7,///,///,4.3,9.3,北,12.3,北,北,///,///,///
7,0.0,0.5 ),0.0 ),18.1,21.2,16.1,///,///,5.7,10.0,西北西,14.9,北西,西北西,///,///,///
8,4.5,4.0,1.5,17.2,20.0,14.3,///,///,4.6,7.3,北北西,11.3,北北西,北北西,///,///,///
9,0.5,0.5,0.5,15.9,19.3,12.5,///,///,2.8,6.7,北北西,10.3,北北西,北北西,///,///,///
10,0.0,0.0,0.0,17.9,21.6,12.9,///,///,2.0,3.8,西,6.2,北北西,西北西,///,///,///
11,2.5,2.0,1.5,17.6,19.5,15.2,///,///,6.1,8.8,北北西,12.9,西北西,北北西,///,///,///
12,0.0,0.0,0.0,16.6,19.9,12.9,///,///,2.8,5.9,北,9.8,北,北,///,///,///
13,0.0,0.0,0.0,18.0,21.9,12.3,///,///,2.0,5.7,北北西,9.8,北北西,西,///,///,///
14,0.0,0.0,0.0,18.3,21.2,16.5,///,///,5.6,7.7,北北東,10.8,北北東,北東,///,///,///
15,0.0,0.0,0.0,19.1,22.2,16.7,///,///,2.8,6.1,北東,9.8,北東,東北東,///,///,///
16,0.0,0.0,0.0,20.3,23.0,18.7,///,///,3.2,5.8,北東,8.7,北東,北東,///,///,///
17,0.0,0.0,0.0,20.2,22.4,18.1,///,///,4.1,5.4,東北東,9.8,東北東,北東,///,///,///
18,28.0,23.0,10.0,21.4,23.2,19.0,///,///,3.0,6.7,北東,10.3,北北東,東北東,///,///,///
19,18.0,9.5,3.0,19.3,20.1,18.3,///,///,2.3,5.9,東北東,10.8,東北東,北東,///,///,///
20,0.0,0.0,0.0,20.5,23.4,18.5,///,///,5.7,9.1,北,12.9,北,北北東,///,///,///
21,0.5,0.5,0.5,17.6,20.1,15.2,///,///,8.1,11.4,北,15.9,北北東,北北西,///,///,///
22,0.5,0.5,0.5,15.2,17.6,13.3,///,///,7.8,10.8,北,15.4,北,北,///,///,///
23,0.5,0.5,0.5,16.0,19.0,13.1,///,///,5.0,9.2,北,12.3,北北東,北北東,///,///,///
24,0.0,0.0,0.0,17.0,20.4,13.9,///,///,2.5,5.4,北,8.2,北,北北西,///,///,///
25,0.0,0.0,0.0,17.1,20.4,12.6,///,///,4.0,7.1,北,9.8,北,北,///,///,///
26,0.0,0.0,0.0,17.1,20.5,14.0,///,///,3.6,6.3,北,9.8,北,北北東,///,///,///
27,0.0,0.0,0.0,18.4,22.5,13.3,///,///,3.9,7.3,南南西,11.3,西北西,南南西,///,///,///
28,4.0,3.5,1.5,17.9,20.4,16.7,///,///,5.0,7.9,北,10.8,北,北,///,///,///
29,0.0,0.0,0.0,16.8,20.0,15.2,///,///,5.4,7.6,北,10.3,北北東,北,///,///,///
30,0.0,0.0,0.0,16.4,20.2,13.1,///,///,3.1,6.0,北,8.2,北北東,北東,///,///,///
31,6.0,5.5,3.5,18.7,22.7,12.3,///,///,4.4,8.7,南南西,12.3,南南西,南南西,///,///,///
