地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,16.5,-1.2,低い,13.0,47,少ない,49.4,118,平年並
旧東,17.1,-1.0,／,11.5,43,／,／,／,／
北大東,17.3,-0.9,／,14.0,61,／,／,／,／
