地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,17.5,-0.5,低い,97.0,126,多い,144.9,119,多い
旧東,17.9,-0.4,／,85.5,115,／,／,／,／
北大東,18.1,-0.4,／,75.5,113,／,／,／,／
