地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,17.3,-1.0,低い,37.5,173,多い,40.2,100,平年並
旧東,17.4,-1.2,／,25.5,123,／,／,／,／
北大東,17.7,-1.1,／,31.0,176,／,／,／,／
