地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,18.7,+0.5,平年並,46.5,166,多い,55.3,142,かなり多い
旧東,19.1,+0.7,／,48.5,181,／,／,／,／
北大東,19.4,+0.8,／,30.5,116,／,／,／,／
