日,日降水量(mm),日最大1時間降水量(mm),日最大10分間降水量(mm),日平均気温(℃),日最高気温(℃),日最低気温(℃),日平均湿度(％),日最小湿度(％),日平均風速(m/s),日最大風速(m/s),日最大風向(16方位),日最大瞬間風速(m/s),日最大瞬間風向(16方位),日最多風向(16方位),日照時間(h),日降雪の深さ合計(cm),日最深積雪(cm)
1,18.5,7.5,2.5,19.0,21.5,16.7,///,///,9.9,12.9,北東,17.0,東北東,北東,///,///,///
2,0.0,0.0,0.0,17.2,19.4,14.8,///,///,9.3,12.7,北,17.5,北北西,北北西,///,///,///
3,0.5,0.5,0.5,15.8,19.0,13.7,///,///,7.8,10.9,北北西,15.4,北,北,///,///,///
4,0.0,0.0,0.0,17.5,19.7,13.7,///,///,3.9,7.7,北,11.3,北,北,///,///,///
5,0.0,0.0,0.0,17.8,21.8,12.4,///,///,2.5,5.0,南南西,7.2,西,西南西,///,///,///
6,5.5,5.5,3.0,19.2,21.6,17.0,///,///,5.2,10.0,北,13.4,北,北,///,///,///
7,0.0,0.0,0.0,18.4,20.7,16.5,///,///,6.9,10.3,北西,15.9,北西,西北西,///,///,///
8,4.5,2.0,1.0,17.5,20.0,14.2,///,///,6.0,9.4,北北西,13.9,北北西,北北西,///,///,///
9,2.0,1.5,1.0,15.9,18.8,11.5,///,///,3.7,8.5,北北西,14.9,北西,北北西,///,///,///
10,0.0,0.0,0.0,18.2,22.3,12.8,///,///,2.9,5.5,北西,7.7,北西,西,///,///,///
11,1.0,1.0,0.5,17.8,19.5,15.6,///,///,7.6,10.2,北西,14.4,北西,北北西,///,///,///
12,0.0,0.0,0.0,16.6,20.6,11.5,///,///,3.3,8.1,北,10.8,北,北,///,///,///
13,0.0,0.0,0.0,17.8,21.8,11.7,///,///,2.8,5.7,西北西,8.7,北西,西北西,///,///,///
14,0.0,0.0,0.0,18.7,21.3,16.8,///,///,6.9,8.8,北,11.8,東北東,北,///,///,///
15,0.0,0.0,0.0,19.8,22.8,17.1,///,///,6.7,10.2,東南東,12.3,東,東,///,///,///
16,0.0,0.0,0.0,20.6,23.4,19.1,///,///,5.3,7.8,東北東,10.3,東北東,東北東,///,///,///
17,0.0,0.0,0.0,20.6,22.9,18.5,///,///,6.4,10.1,東北東,12.3,東北東,東北東,///,///,///
18,17.5,14.0,6.5,21.6,23.8,19.5,///,///,8.7,11.2,東,13.4,東,東,///,///,///
19,11.5,6.0,2.5,19.9,20.7,18.7,///,///,5.4,11.7,東,13.9,東,東,///,///,///
20,0.5,0.5,0.5,20.8,23.8,19.2,///,///,7.0,10.2,北北西,13.4,北北西,北北東,///,///,///
21,0.0,0.0,0.0,17.9,20.0,15.9,///,///,9.3,12.3,北,17.0,北北西,北北西,///,///,///
22,0.0,0.0,0.0,15.4,17.5,13.8,///,///,8.9,11.6,北,15.4,北,北,///,///,///
23,1.0,1.0,0.5,16.2,19.1,13.5,///,///,6.0,10.2,北,13.4,北,北北東,///,///,///
24,0.0,0.0,0.0,17.2,20.5,14.0,///,///,3.2,5.4,北,8.7,北北西,北北西,///,///,///
25,0.0,0.0,0.0,17.3,20.5,13.4,///,///,4.8,7.2,北,9.8,北北東,北北西,///,///,///
26,0.0,0.0,0.0,17.2,20.4,12.7,///,///,4.2,6.9,北,8.7,北北東,北,///,///,///
27,0.0,0.0,0.0,18.6,23.0,11.4,///,///,4.9,9.4,南西,12.9,南西,南南西,///,///,///
28,1.5,1.0,0.5,18.1,19.6,16.9,///,///,6.0,8.9,北,12.9,北,北,///,///,///
29,0.0,0.0,0.0,16.9,19.7,15.5,///,///,6.1,8.2,北,11.3,北,北,///,///,///
30,0.0,0.0,0.0,16.8,20.4,14.0,///,///,3.9,5.9,北東,8.7,北北西,北北東,///,///,///
31,11.5,9.5,7.0,19.1,23.2,12.4,///,///,5.3,8.8,南南西,14.4,西北西,南南西,///,///,///
