要素名／順位,1位,2位,3位,4位,5位,6位,7位,8位,9位,10位,統計期間
日降水量 (mm),136.5 (2021/1/23),93.5 (1980/1/29),86.4 (1949/1/1),78.8 (1956/1/18),74.5 (1975/1/27),74.0 (1960/1/1),72.5 (1950/1/2),69.7 (1962/1/7),64.0 (1982/1/4),61.5 (2020/1/26),1943/1 2026/1
日最大10分間降水量 (mm),20.0 (2020/1/26),18.0 (1977/1/26),17.5 (1979/1/31),15.5 (2026/1/18),15.0 (1990/1/10),14.4 (1966/1/25),14.0 (1968/1/30),13.2 (1949/1/1),12.5 (2024/1/21),12.5 (2003/1/23),1943/1 2026/1
日最大1時間降水量 (mm),50.5 (1979/1/31),40.5 (2020/1/26),40.5 (1990/1/10),39.4 (1949/1/1),38.5 (2001/1/7),33.0 (1980/1/29),32.0 (1973/1/7),30.0 (1979/1/30),30.0 (1977/1/26),28.5 (2026/1/18),1943/1 2026/1
月最大24時間降水量 (mm),186.0 (2021/1/23),113.8 (1960/1/1),112.6 (1949/1/1),94.5 (1980/1/29),90.0 (1989/1/9),83.0 (1982/1/4),79.7 (1956/1/18),74.5 (1975/1/27),73.2 (1950/1/2),70.5 (1962/1/8),1947/1 2026/1
月降水量の多い方から (mm),293.5 (1977/1),253.0 (1980/1),218.0 (1973/1),213.5 (2021/1),205.5 (1990/1),202.2 (1949/1),193.0 (1988/1),191.0 (2016/1),157.6 (1950/1),153.5 (1970/1),1943/1 2026/1
月降水量の少ない方から (mm),15.5 (1981/1),17.4 (1948/1),20.5 (2009/1),22.5 (1957/1),25.2 (1967/1),28.0 (1985/1),28.5 (1996/1),31.5 (2023/1),31.5 (1952/1),32.0 (2002/1),1943/1 2026/1
日最高気温の高い方から (℃),26.8 (2016/1/6),26.5 (2020/1/8),26.5 (1969/1/28),26.4 (1969/1/29),26.4 (1966/1/12),26.3 (1969/1/27),26.3 (1954/1/18),26.2 (2020/1/24),26.1 (1992/1/6),26.1 (1954/1/19),1943/1 2026/1
日最高気温の低い方から (℃),13.9 (1959/1/17),14.4 (1963/1/27),14.6 (2018/1/12),14.6 (1976/1/11),14.6 (1963/1/7),14.7 (1962/1/27),14.8 (1963/1/26),14.8 (1963/1/25),15.0 (1984/1/27),15.0 (1982/1/19),1943/1 2026/1
日最低気温の高い方から (℃),21.9 (1998/1/11),21.7 (2006/1/20),21.6 (1969/1/26),21.3 (2023/1/15),21.3 (1957/1/1),21.1 (2020/1/26),21.1 (2016/1/3),21.1 (1969/1/21),21.0 (2023/1/14),21.0 (1991/1/21),1943/1 2026/1
日最低気温の低い方から (℃),3.5 (1982/1/22),4.1 (1978/1/23),4.2 (1974/1/15),4.3 (1980/1/17),4.4 (1952/1/21),4.5 (1981/1/19),4.7 (1976/1/26),4.7 (1968/1/17),4.7 (1952/1/22),5.1 (1958/1/21),1943/1 2026/1
月平均気温の高い方から (℃),19.7 (2020/1),19.7 (1969/1),19.4 (1998/1),19.1 (1988/1),19.0 (2008/1),19.0 (1954/1),18.9 (2016/1),18.7 (2000/1),18.7 (1989/1),18.7 (1964/1),1943/1 2026/1
月平均気温の低い方から (℃),14.5 (1963/1),15.7 (1971/1),15.8 (1981/1),15.8 (1962/1),15.9 (1986/1),16.0 (1976/1),16.1 (2011/1),16.1 (1982/1),16.1 (1943/1),16.2 (1970/1),1943/1 2026/1
日最小相対湿度 (%),33 (1963/1/18),34 (2009/1/15),34 (1996/1/2),34 (1995/1/6),35 (2014/1/24),35 (2008/1/3),36 (1986/1/8),36 (1984/1/9),37 (2024/1/17),37 (2014/1/6),1958/1 2026/1
日最大風速・風向 (m/s),17.7 北西 (1959/1/16),17.4 南南西 (1954/1/24),17.0 北西 (1959/1/17),16.7 北 (1965/1/4),16.7 南 (1964/1/28),15.8 西北西 (1953/1/7),15.3 北 (1959/1/4),15.2 南南西 (1954/1/23),15.0 西北西 (1965/1/8),14.9 南南東 (1953/1/18),1943/1 2026/1
日最大瞬間風速・風向 (m/s),36.1 南南西 (1988/1/21),27.6 南西 (1998/1/23),26.3 南西 (1998/1/15),26.0 南 (1955/1/26),24.5 西 (2001/1/13),24.4 西 (1963/1/5),24.3 北 (1965/1/4),24.2 北 (2005/1/14),23.9 南東 (1992/1/25),23.6 南東 (2006/1/13),1943/1 2026/1
月間日照時間の多い方から (時間),180.3 (1996/1),168.7 (2024/1),167.5 (1982/1),159.2 (1952/1),158.6 (2003/1),156.5 (1979/1),154.5 (2020/1),153.0 (2014/1),150.9 (2023/1),147.5 (1998/1),1943/1 2026/1
月間日照時間の少ない方から (時間),79.2 (1988/1),79.5 (1956/1),82.0 (2011/1),83.1 (2007/1),84.8 (1984/1),86.8 (1990/1),87.1 (1977/1),88.7 (2018/1),89.9 (2008/1),90.7 (1978/1),1943/1 2026/1
降雪の深さ日合計 (cm),-- (2020/1/31),-- (2020/1/30),-- (2020/1/29),-- (2020/1/28),-- (2020/1/27),-- (2020/1/26),-- (2020/1/25),-- (2020/1/24),-- (2020/1/23),-- (2020/1/22),1953/1 2020/1
降雪の深さ月合計 (cm),-- (2020/1),-- (2019/1),-- (2018/1),-- (2017/1),-- (2016/1),-- (2015/1),-- (2014/1),-- (2013/1),-- (2012/1),-- (2011/1),1953/1 2020/1
月最深積雪の大きい方から (cm),-- (2020/1),-- (2019/1),-- (2018/1),-- (2017/1),-- (2016/1),-- (2015/1),-- (2014/1),-- (2013/1),-- (2012/1),-- (2011/1),1943/1 2020/1
月最深積雪の小さい方から (cm),-- (2020/1),-- (2019/1),-- (2018/1),-- (2017/1),-- (2016/1),-- (2015/1),-- (2014/1),-- (2013/1),-- (2012/1),-- (2011/1),1943/1 2020/1
