地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,25.0,+0.9,高い,164.0,74,平年並,174.5,102,平年並
旧東,24.8,+0.5,／,144.0,68,／,／,／,／
北大東,25.0,+0.6,／,125.0,59,／,／,／,／
