日,日降水量(mm),日最大1時間降水量(mm),日最大10分間降水量(mm),日平均気温(℃),日最高気温(℃),日最低気温(℃),日平均湿度(％),日最小湿度(％),日平均風速(m/s),日最大風速(m/s),日最大風向(16方位),日最大瞬間風速(m/s),日最大瞬間風向(16方位),日最多風向(16方位),日照時間(h),日降雪の深さ合計(cm),日最深積雪(cm)
1,0.0,0.0,0.0,25.6,29.9,23.5,///,///,5.7,10.3,南西,14.4,南西,南南西,///,///,///
2,8.0,2.5,1.5,23.3,25.9,22.0,///,///,3.4,6.4,東,7.7,東北東,西北西,///,///,///
3,2.0,1.5,0.5,23.7,26.2,21.8,///,///,3.1,4.3,北東,5.7,東北東,北東,///,///,///
4,0.0,0.0,0.0,24.4,26.7,22.2,///,///,5.1,9.4,東,11.3,東,東北東,///,///,///
5,0.0,0.0,0.0,24.8,27.2,23.7,///,///,9.4,12.9,東,15.4,東,東,///,///,///
6,0.5,0.5,0.5,25.2,28.4,23.8,///,///,5.0,8.2,東南東,9.8,南南東,南東,///,///,///
7,0.5,0.5,0.5,24.5,27.1,22.9,///,///,5.0,7.9,北,11.8,西,北,///,///,///
8,0.0,0.0,0.0 ),23.8,26.7 ),22.2 ),///,///,4.7 ),6.1 ),北 ),8.2 ),北 ),北北西,///,///,///
9,0.0,0.0,0.0,22.9,25.8,20.8,///,///,5.3,8.2,北北西,10.8,北,北北東,///,///,///
10,0.0,0.0,0.0,23.2,25.9,21.1,///,///,6.7,10.3,東,11.8,東,東北東,///,///,///
11,0.0,0.0,0.0,24.3,27.6,22.3,///,///,8.3,10.9,東,12.9,東,東,///,///,///
12,0.0,0.0,0.0,25.5,28.8,23.3,///,///,3.4,7.0,東,8.2,東,南南東,///,///,///
13,9.5,7.5,2.0,24.2,25.9,22.4,///,///,2.7,9.9,西,13.9,西,南,///,///,///
14,3.0,1.5,1.5,24.1,25.8,22.9,///,///,2.6,6.5,東,7.2,東,東北東,///,///,///
15,28.5,18.5,7.0,24.1,27.0,22.2,///,///,6.0,12.1,南東,13.9,南東,北西,///,///,///
16,0.0,0.0,0.0,23.3,26.5,21.4,///,///,5.9,8.6,北,10.8,北,北,///,///,///
17,0.0,0.0,0.0,23.3,26.0,21.3,///,///,7.8,10.0,東北東,11.8,東,東北東,///,///,///
18,26.5,6.0,3.0,23.1,24.2,22.3,///,///,6.6,9.8,北北東,12.3,北北東,東北東,///,///,///
19,1.0,1.0,0.5,24.7,27.5,23.4,///,///,2.9,6.9,南南東,8.2,南南東,東南東,///,///,///
20,0.0,0.0,0.0,24.2,26.4,22.5,///,///,4.6,6.8,北北東,8.2,北北東,北東,///,///,///
21,13.5,6.0,1.5,23.8,24.9,23.4,///,///,5.5,9.3,東,10.8,東,北東,///,///,///
22,2.0,0.5,0.5,25.4,27.5,24.1,///,///,3.9,7.2,東南東,8.2,東南東,南,///,///,///
23,0.0,0.0,0.0,26.9,30.2,24.9,///,///,4.5,6.3,南,8.2,南,南南西,///,///,///
24,0.0,0.0,0.0,26.9,29.7,24.8,///,///,4.4,7.2,南西,9.3,南西,南西,///,///,///
25,0.0,0.0,0.0,25.9,28.8,24.2,///,///,2.4,4.4,北東,6.2,北東,北東,///,///,///
26,0.0,0.0,0.0,27.6,30.4,25.6,///,///,4.2,6.6,南南東,7.2,南南東,南東,///,///,///
27,0.0,0.0,0.0,28.1,30.3,26.7,///,///,6.0,9.3,南,11.8,南南東,南,///,///,///
28,18.0,6.5,2.0,27.4,31.2,23.3,///,///,8.4,12.4,南,15.9,南,南,///,///,///
29,12.0,3.5,2.0,25.8,26.8,24.3,///,///,10.1,20.1,東,24.7,北北東,東南東,///,///,///
30,0.0,0.0,0.0,26.2,28.9,24.6,///,///,2.5,4.3,北北西,5.7,北西,東,///,///,///
31,0.0,0.0,0.0,27.6,30.1,25.3,///,///,3.9,6.8,西南西,9.3,西南西,西南西,///,///,///
