地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,26.6,+2.0,かなり高い,53.0,45,平年並,49.4,90,平年並
旧東,26.4,+1.7,／,53.5,44,／,／,／,／
北大東,26.5,+1.7,／,45.5,39,／,／,／,／
