要素,平年降水量(mm),平年平均気温(℃),平年最高気温(℃),平年最低気温(℃),平年日照時間(h),平年全天日射量(MJ/㎡),平年平均雲量,平年降雪の深さ合計(cm),平年最深積雪(cm)
統計期間,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2016,1991～ 2020,1991～ 2020
資料年数,30,30,30,30,30,30,26,30,30
1日,3.5,22.9,25.9,20.2,5.5,18.7,7.4 @,---,---
2日,3.6,23.0,26.0,20.3,5.6,18.8,7.3 @,---,---
3日,3.7,23.1,26.1,20.4,5.7,19.0,7.2 @,---,---
4日,3.8,23.2,26.2,20.5,5.8,19.2,7.2 @,---,---
5日,3.9,23.3,26.3,20.6,5.9,19.3,7.1 @,---,---
6日,4.0,23.4,26.4,20.6,6.0,19.3,7.1 @,---,---
7日,4.1,23.5,26.5,20.7,6.0,19.4,7.0 @,---,---
8日,4.2,23.6,26.6,20.8,6.0,19.4,7.0 @,---,---
9日,4.4,23.7,26.7,20.9,6.0,19.3,7.0 @,---,---
10日,4.5,23.7,26.8,21.0,6.0,19.2,7.0 @,---,---
11日,4.8,23.8,26.8,21.1,5.9,19.1,7.1 @,---,---
12日,5.1,23.9,26.9,21.2,5.8,19.0,7.1 @,---,---
13日,5.4,23.9,26.9,21.2,5.7,18.8,7.2 @,---,---
14日,5.8,24.0,27.0,21.3,5.6,18.6,7.3 @,---,---
15日,6.2,24.0,27.0,21.4,5.5,18.5,7.3 @,---,---
16日,6.7,24.1,27.0,21.5,5.4,18.3,7.4 @,---,---
17日,7.2,24.1,27.0,21.5,5.3,18.1,7.5 @,---,---
18日,7.7,24.2,27.0,21.6,5.2,18.0,7.6 @,---,---
19日,8.3,24.2,27.0,21.7,5.1,17.9,7.7 @,---,---
20日,8.8,24.3,27.1,21.7,5.0,17.8,7.7 @,---,---
21日,9.2,24.3,27.1,21.8,5.0,17.8,7.8 @,---,---
22日,9.6,24.4,27.1,21.9,4.9,17.8,7.8 @,---,---
23日,10.0,24.5,27.2,22.0,4.9,17.8,7.8 @,---,---
24日,10.3,24.5,27.3,22.1,5.0,17.9,7.9 @,---,---
25日,10.5,24.6,27.3,22.2,5.0,18.0,7.9 @,---,---
26日,10.7,24.7,27.4,22.3,5.0,18.0,7.9 @,---,---
27日,10.7,24.8,27.5,22.4,5.1,18.2,7.9 @,---,---
28日,10.6,24.9,27.6,22.5,5.2,18.3,7.8 @,---,---
29日,10.5,25.0,27.7,22.7,5.2,18.4,7.8 @,---,---
30日,10.4,25.1,27.8,22.8,5.3,18.5,7.8 @,---,---
31日,10.3,25.2,27.8,22.9,5.4,18.6,7.8 @,---,---
