地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,24.1,+0.7,高い,11.0,28,少ない,70.2,114,多い
旧東,24.0,+0.4,／,11.0,33,／,／,／,／
北大東,24.1,+0.4,／,11.0,32,／,／,／,／
