地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,19.4,+0.0,平年並,10.0,32,少ない,39.2,78,少ない
旧東,19.3,-0.1,／,8.0,42,／,／,／,／
北大東,19.5,-0.1,／,2.0,11,／,／,／,／
