要素,平年降水量(mm),平年平均気温(℃),平年最高気温(℃),平年最低気温(℃),平年日照時間(h),平年全天日射量(MJ/㎡),平年平均雲量,平年降雪の深さ合計(cm),平年最深積雪(cm)
統計期間,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2016,1991～ 2020,1991～ 2020
資料年数,30,30,30,30,30,30,26,30,30
1日,2.5,18.8,21.9,15.6,4.6,14.1,6.7 @,---,---
2日,2.5,18.8,22.0,15.6,4.6,14.1,6.7 @,---,---
3日,2.6,18.8,22.0,15.6,4.6,14.2,6.7 @,---,---
4日,2.6,18.8,22.0,15.6,4.6,14.2,6.7 @,---,---
5日,2.7,18.8,22.0,15.6,4.6,14.2,6.7 @,---,---
6日,2.8,18.8,22.0,15.6,4.6,14.3,6.7 @,---,---
7日,2.9,18.8,22.0,15.6,4.6,14.4,6.7 @,---,---
8日,2.9,18.8,22.0,15.6,4.7,14.4,6.7 @,---,---
9日,3.0,18.9,22.0,15.6,4.7,14.5,6.6 @,---,---
10日,3.0,18.9,22.1,15.7,4.7,14.6,6.6 @,---,---
11日,3.0,19.0,22.2,15.8,4.8,14.8,6.6 @,---,---
12日,3.0,19.0,22.2,15.9,4.8,14.9,6.6 @,---,---
13日,3.0,19.1,22.3,16.0,4.9,15.1,6.6 @,---,---
14日,3.0,19.2,22.4,16.1,4.9,15.2,6.6 @,---,---
15日,2.9,19.3,22.5,16.3,5.0,15.3,6.7 @,---,---
16日,2.8,19.5,22.6,16.4,5.0,15.4,6.7 @,---,---
17日,2.8,19.6,22.7,16.6,5.0,15.5,6.7 @,---,---
18日,2.7,19.7,22.8,16.7,5.0,15.6,6.8 @,---,---
19日,2.6,19.8,22.8,16.8,5.0,15.7,6.8 @,---,---
20日,2.6,19.8,22.9,16.9,5.1,15.8,6.9 @,---,---
21日,2.5,19.9,23.0,17.0,5.1,16.0,6.9 @,---,---
22日,2.5,20.0,23.0,17.1,5.2,16.1,6.9 @,---,---
23日,2.5,20.0,23.1,17.1,5.2,16.2,6.9 @,---,---
24日,2.5,20.1,23.1,17.2,5.3,16.4,6.9 @,---,---
25日,2.5,20.1,23.2,17.2,5.3,16.5,6.8 @,---,---
26日,2.6,20.1,23.2,17.2,5.3,16.6,6.8 @,---,---
27日,2.6,20.2,23.2,17.2,5.4,16.7,6.8 @,---,---
28日,2.7,20.2,23.3,17.2,5.4,16.8,6.8 @,---,---
29日,2.8,20.2,23.3,17.3,5.4,16.9,6.8 @,---,---
30日,2.9,20.3,23.4,17.3,5.4,16.9,6.8 @,---,---
31日,3.0,20.3,23.4,17.4,5.3,16.9,6.8 @,---,---
