地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,18.9,-1.3,低い,121.0,455,かなり多い,66.1,111,平年並
旧東,19.2,-0.8,／,122.0,510,／,／,／,／
北大東,19.2,-0.9,／,65.0,273,／,／,／,／
