要素名／順位,1位,2位,3位,4位,5位,6位,7位,8位,9位,10位,統計期間
日降水量 (mm),125.1 (1947/3/5),113.0 (1999/3/13),96.5 (2025/3/28),71.3 (1964/3/6),67.5 (1945/3/3),67.0 (2000/3/11),66.0 (2000/3/12),65.6 (1966/3/26),58.5 (1984/3/19),56.0 (1960/3/21),1942/3 2026/3
日最大10分間降水量 (mm),25.0 (2000/3/11),17.5 (1968/3/23),16.0 (2021/3/28),15.8 (1953/3/20),15.5 (1969/3/12),15.0 (2021/3/25),14.5 (2019/3/15),14.0 (2017/3/2),14.0 (1983/3/26),13.5 (2025/3/28),1942/3 2026/3
日最大1時間降水量 (mm),41.7 (1942/3/18),41.5 (1999/3/13),41.5 (1987/3/21),37.5 (2000/3/11),37.0 (2025/3/28),36.0 (1968/3/1),34.1 (1953/3/20),34.0 (2019/3/15),33.5 (1983/3/26),33.4 (1960/3/21),1942/3 2026/3
月最大24時間降水量 (mm),132.5 (2000/3/11),125.2 (1947/3/5),113.0 (1999/3/13),105.0 (2025/3/28),79.5 (1959/3/16),72.4 (1964/3/6),70.5 (1966/3/26),67.5 (2006/3/26),64.6 (1950/3/23),63.5 (1981/3/19),1946/3 2026/3
月降水量の多い方から (mm),257.5 (1947/3),240.0 (1968/3),228.5 (1999/3),224.0 (1983/3),207.5 (2000/3),188.9 (1953/3),183.4 (1957/3),169.5 (1988/3),169.0 (2005/3),163.5 (1984/3),1942/3 2026/3
月降水量の少ない方から (mm),3.5 (1997/3),5.0 (2023/3),5.9 (1948/3),8.0 (2010/3),11.5 (2011/3),12.4 (1967/3),16.2 (1955/3),18.0 (1963/3),18.5 (1972/3),20.0 (1973/3),1942/3 2026/3
日最高気温の高い方から (℃),28.1 (1999/3/27),28.0 (1999/3/26),27.9 (1999/3/30),27.5 (2012/3/7),27.5 (1992/3/28),27.5 (1992/3/26),27.5 (1992/3/25),27.4 (2024/3/26),27.3 (1992/3/29),27.3 (1992/3/24),1942/3 2026/3
日最高気温の低い方から (℃),13.6 (1986/3/2),14.3 (2005/3/6),15.0 (1970/3/7),15.1 (2005/3/5),15.3 (1984/3/2),15.5 (1958/3/3),15.6 (2005/3/13),15.7 (1972/3/1),15.7 (1971/3/9),15.8 (1977/3/5),1942/3 2026/3
日最低気温の高い方から (℃),23.1 (1999/3/26),22.7 (1988/3/14),22.6 (2012/3/6),22.6 (1999/3/25),22.6 (1992/3/27),22.4 (2023/3/24),22.4 (2019/3/29),22.3 (2010/3/6),22.3 (1942/3/2),22.2 (2022/3/31),1942/3 2026/3
日最低気温の低い方から (℃),5.3 (1967/3/14),5.5 (1974/3/2),6.0 (1984/3/3),6.0 (1963/3/2),6.1 (1947/3/12),6.2 (1987/3/4),6.3 (2005/3/15),6.3 (1965/3/19),6.3 (1947/3/11),6.6 (1986/3/5),1942/3 2026/3
月平均気温の高い方から (℃),21.7 (1999/3),21.6 (1992/3),20.9 (2021/3),20.9 (1942/3),20.8 (2020/3),20.8 (1991/3),20.7 (1988/3),20.7 (1955/3),20.5 (2023/3),20.5 (2013/3),1942/3 2026/3
月平均気温の低い方から (℃),17.1 (1965/3),17.2 (1947/3),17.4 (1971/3),17.4 (1957/3),17.7 (1994/3),17.7 (1963/3),17.8 (2005/3),17.8 (1970/3),17.8 (1962/3),17.9 (1972/3),1942/3 2026/3
