地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,20.3,+1.5,高い,3.5,13,少ない,59.2,134,多い
旧東,20.3,+1.2,／,2.0,7,／,／,／,／
北大東,20.5,+1.3,／,3.0,10,／,／,／,／
