要素,平年降水量(mm),平年平均気温(℃),平年最高気温(℃),平年最低気温(℃),平年日照時間(h),平年全天日射量(MJ/㎡),平年平均雲量,平年降雪の深さ合計(cm),平年最深積雪(cm)
統計期間,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2016,1991～ 2020,1991～ 2020
資料年数,30,30,30,30,30,30,26,30,30
1日,3.8,24.4,27.2,21.8,5.2,13.3,6.4 @,---,---
2日,3.5,24.3,27.1,21.7,5.1,13.2,6.5 @,---,---
3日,3.3,24.3,27.1,21.7,5.1,13.0,6.5 @,---,---
4日,3.1,24.2,27.0,21.6,5.0,12.9,6.5 @,---,---
5日,3.0,24.1,26.9,21.5,5.0,12.8,6.5 @,---,---
6日,3.0,24.0,26.8,21.4,5.0,12.7,6.5 @,---,---
7日,3.1,23.9,26.7,21.3,4.9,12.6,6.5 @,---,---
8日,3.1,23.8,26.6,21.2,4.9,12.5,6.6 @,---,---
9日,3.2,23.7,26.5,21.1,4.9,12.4,6.6 @,---,---
10日,3.3,23.6,26.5,21.0,4.8,12.2,6.7 @,---,---
11日,3.4,23.5,26.3,20.8,4.7,12.1,6.7 @,---,---
12日,3.6,23.4,26.2,20.7,4.7,11.9,6.8 @,---,---
13日,3.7,23.3,26.1,20.6,4.6,11.8,6.8 @,---,---
14日,3.9,23.2,26.0,20.5,4.5,11.6,6.9 @,---,---
15日,4.0,23.1,25.9,20.4,4.4,11.4,7.0 @,---,---
16日,4.0,23.0,25.8,20.3,4.4,11.3,7.0 @,---,---
17日,4.1,22.9,25.6,20.2,4.3,11.2,7.0 @,---,---
18日,4.1,22.8,25.5,20.1,4.3,11.1,7.0 @,---,---
19日,4.2,22.7,25.4,20.0,4.3,11.0,7.0 @,---,---
20日,4.2,22.6,25.3,19.8,4.3,11.0,7.0 @,---,---
21日,4.3,22.5,25.2,19.7,4.3,10.9,7.0 @,---,---
22日,4.3,22.4,25.1,19.6,4.3,10.9,6.9 @,---,---
23日,4.4,22.3,25.0,19.5,4.3,10.8,6.9 @,---,---
24日,4.5,22.2,24.9,19.4,4.3,10.8,6.8 @,---,---
25日,4.6,22.1,24.8,19.3,4.3,10.7,6.8 @,---,---
26日,4.8,22.0,24.8,19.2,4.3,10.7,6.7 @,---,---
27日,4.9,21.9,24.7,19.1,4.3,10.6,6.7 @,---,---
28日,5.0,21.8,24.5,19.0,4.3,10.6,6.7 @,---,---
29日,5.0,21.7,24.4,18.9,4.2,10.5,6.6 @,---,---
30日,5.0,21.6,24.3,18.8,4.2,10.4,6.6 @,---,---
