月,旬,旬合計降水量(mm),旬間最大日降水量(mm),旬間最大1時間降水量(mm),旬間最大10分間降水量(mm),旬間平均日平均気温(℃),旬間平均日最高気温(℃),旬間平均日最低気温(℃),旬間最高日気温(℃),旬間最低日気温(℃),旬間平均湿度(％),旬間最小湿度(％),旬間平均風速(m/s),旬間最大風速(m/s),旬間最大風向(16方位),旬間最大瞬間風速(m/s),旬間最大瞬間風向(16方位),旬間日照時間(h),旬合計降雪深(cm),旬最大日降雪深(cm),旬最深積雪(cm)
1,上旬,48.0,35.0,13.5,6.5,18.8,21.8,15.8,23.2,12.4,///,///,4.0,10.3,北,14.9,北西,///,///,///,///
1,中旬,0.0,0.0,0.0,0.0,19.1,21.8,16.7,24.0,13.9,///,///,3.8,9.3,西北西,14.9,北北西,///,///,///,///
1,下旬,22.0,21.0,19.5,6.5,18.1,20.5,16.3,23.3,14.3,///,///,4.7,9.8,北北西,14.9,北北西,///,///,///,///
2,上旬,26.5,17.5,9.0,6.5,20.0,23.0,17.7,26.1,15.9,///,///,3.5,9.0,北北東,12.3,西南西,///,///,///,///
2,中旬,0.0,0.0,0.0,0.0,20.4,23.2,18.6,26.1,15.9,///,///,3.8,8.9,北北東,11.8,北,///,///,///,///
2,下旬,0.0,0.0,0.0,0.0,21.0,24.1,18.8,26.8,17.7,///,///,4.5,9.2,西北西,14.4,北西,///,///,///,///
3,上旬,41.5,16.0,15.5,13.0,19.1,21.7,16.9,26.1,14.2,///,///,5.6,10.6,南南西,21.1,南南西,///,///,///,///
3,中旬,23.5,23.0,20.5,13.0,19.6,22.3,17.5,24.2,15.3,///,///,4.7,11.2,南南西,17.0,南南西,///,///,///,///
3,下旬,3.0,2.5,1.0,0.5,21.5,24.7,19.1,27.2,12.1,///,///,4.4,10.0,南南西,14.4,南南西,///,///,///,///
4,上旬,40.0,20.0,20.0,10.5,23.7,26.4,22.1,28.1,20.3,///,///,4.6,9.8,北東,13.9,北東,///,///,///,///
4,中旬,77.0,54.5,17.0,4.5,22.7,25.1,20.7,27.6,19.0,///,///,3.4,10.4,南東,14.9,南南東,///,///,///,///
4,下旬,152.0,73.0,25.0,12.5,24.3,26.9,22.6,29.6,21.8,///,///,4.1,10.4,南南西,14.9,西,///,///,///,///
