地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,26.6,+2.5,かなり高い,40.0,152,多い,41.6,83,少ない
旧東,26.5,+1.9,／,47.0,153,／,／,／,／
北大東,26.8,+2.0,／,43.5,144,／,／,／,／
