地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,24.8,+1.7,かなり高い,146.0,121,平年並,112.4,82,少ない
旧東,24.8,+1.3,／,154.5,132,／,／,／,／
北大東,25.1,+1.4,／,148.0,141,／,／,／,／
