地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,21.7,-0.4,平年並,73.0,150,多い,31.1,71,少ない
旧東,21.8,-0.7,／,71.5,147,／,／,／,／
北大東,22.1,-0.6,／,68.5,158,／,／,／,／
