年,種別,現象,観測日,平年値,最早日,最晩日
2025,ひかんざくら,開花,3月3日,1月20日,1月4日 (2002年),3月3日 (2025年)
2025,ひかんざくら,満開,-,2月5日,1月21日 (2013年),3月1日 (2016年)
2025,すすき,開花,11月4日,10月24日,9月18日 (2005年),11月13日 (2017年)
