日,日降水量(mm),日最大1時間降水量(mm),日最大10分間降水量(mm),日平均気温(℃),日最高気温(℃),日最低気温(℃),日平均湿度(％),日最小湿度(％),日平均風速(m/s),日最大風速(m/s),日最大風向(16方位),日最大瞬間風速(m/s),日最大瞬間風向(16方位),日最多風向(16方位),日照時間(h),日降雪の深さ合計(cm),日最深積雪(cm)
1,0.0,0.0,0.0,28.4,31.0,27.3,///,///,4.0,6.4,南東,9.3,南南東,南南東,///,///,///
2,0.0,0.0,0.0,28.2,31.5,26.5,///,///,4.3,7.7,南西,9.8,南西,北西,///,///,///
3,0.0,0.0,0.0,27.2,29.9,25.9,///,///,4.7,7.5,北,9.8,北,北,///,///,///
4,0.0,0.0,0.0,27.0,29.7,25.7,///,///,3.9,5.1,北東,7.7,北,北東,///,///,///
5,0.0,0.0,0.0,26.1,28.5,25.0,///,///,5.6,8.6,北,11.3,北北東,北,///,///,///
6,0.0,0.0,0.0,24.6,26.1,23.5,///,///,7.4,9.5,北,12.3,北,北,///,///,///
7,0.0,0.0,0.0,25.2,27.4,23.5,///,///,6.5,8.3,北東,12.3,東北東,北東,///,///,///
8,0.5,0.5,0.5,26.2,27.9,25.0,///,///,5.2,7.3,東北東,12.3,東北東,東北東,///,///,///
9,27.5,7.5,2.5,25.5,26.8,23.5,///,///,4.6,8.4,北東,13.4,東北東,東,///,///,///
10,19.0,18.0,16.5,26.5,28.4,24.4,///,///,3.4,7.8,北東,11.3,北東,東,///,///,///
11,33.5,28.0,9.0,25.4,29.8,21.8,///,///,2.1,5.5,西北西,9.3,北,西南西,///,///,///
12,0.0,0.0,0.0,26.2,28.7,24.0,///,///,2.5,4.8,北北東,6.2,東北東,北北東,///,///,///
13,0.0,0.0,0.0,26.6,29.2,25.7,///,///,2.6,3.9,北東,6.2,東北東,東北東,///,///,///
14,0.0,0.0,0.0,26.7,29.4,25.6,///,///,2.3,3.2,東,6.7,南東,東南東,///,///,///
15,0.0,0.0,0.0,26.9,29.1,25.8,///,///,3.7,6.0,南東,8.2,南東,南東,///,///,///
16,0.5,0.5,0.5,27.0,29.3,24.9,///,///,4.4,6.3,南,8.7,南,南南東,///,///,///
17,0.0,0.5,0.0,26.5,29.3,24.8,///,///,2.6,5.1,南南西,9.3,北北西,南西,///,///,///
18,0.5,0.5,0.5,25.5,28.2,24.1,///,///,6.7,10.4,北,14.4,北,北北東,///,///,///
19,0.0,0.0,0.0,24.9,27.3,23.2,///,///,5.5,7.8,北東,11.3,北東,北東,///,///,///
20,1.5,1.5,0.5,24.2,26.2,22.2,///,///,3.0,5.7,北東,9.3,東北東,東北東,///,///,///
21,13.5,7.5,3.0,22.9,26.0,21.1,///,///,1.6,4.5,北北東,6.2,北東,東,///,///,///
22,33.5,13.5,4.0,21.6,22.9,20.2,///,///,6.0,10.1,北北東,13.4,北北東,北北東,///,///,///
23,0.0,0.0,0.0,22.7,25.5,21.3,///,///,6.5,8.5,北北東,11.3,北,北北東,///,///,///
24,0.5,0.5,0.5,22.6,23.4,21.0,///,///,5.6,8.4,北東,12.3,北東,北東,///,///,///
25,0.0,0.0,0.0,22.8,24.2,22.1,///,///,5.7,8.7,北東,12.9,北東,東北東,///,///,///
26,15.5,12.0,3.5,24.0,27.7,20.9,///,///,3.9,10.1,北,13.4,北北東,南東,///,///,///
27,5.0,3.0,1.0,21.4,23.4,19.1,///,///,5.4,7.5,北,10.8,北,北,///,///,///
28,3.5,1.0,0.5,19.9,22.1,18.0,///,///,4.1,6.5,北,9.8,北北西,北北西,///,///,///
29,0.0,0.0,0.0,19.9,22.1,18.4,///,///,5.6,8.5,西北西,14.4,西北西,北西,///,///,///
30,0.0,0.0,0.0,20.2,23.6,17.6,///,///,3.5,6.3,北北西,9.3,北北西,北,///,///,///
