月,月平均現地気圧(hPa),月平均海面気圧(hPa),月合計降水量(mm),月間最大日降水量(mm),月間最大1時間降水量(mm),月間最大10分間降水量(mm),月間平均日平均気温(℃),月間平均日最高気温(℃),月間平均日最低気温(℃),月間最高気温(℃),月間最低気温(℃),月間平均湿度(％),月間最小湿度(％),月間平均風速(m/s),月間最大風速(m/s),月間最大風向(16方位),月間最大瞬間風速(m/s),月間最大瞬間風向(16方位),月間日照時間(h),月間全天日射量(MJ/㎡),月間降雪の深さ合計(cm),月間最大日降雪の深さ(cm),月最深積雪(cm),月平均雲量,月雪日数,月霧日数,月雷日数
1,1018.5,1020.9,66.5,29.5,22.0,12.5,18.3,21.7,14.3,24.5,9.9,67,37,4.4,11.0,北西,18.0,北西,168.7,12.4,,,,,0 ),0 ),0 )
2,1018.3,1020.7,34.0,19.5,12.5,10.5,20.4,23.7,17.2,27.6,13.3,74,36,4.2,10.7,南南東,17.7,西,185.1,15.5,,,,,0 ),2 ),0
3,1015.4,1017.9,72.5,22.5,20.0,12.5,20.2,23.3,16.9,27.4,8.9,71,37,5.0,13.2,南,23.0,南,177.0,16.8,,,,,0 ),0 ),1 )
4,1011.1,1013.5,258.0,62.5,27.5,10.5,23.7,26.4,21.7,28.9,16.1,88,57,4.2,13.0,南東,19.0,南東,129.4,15.6,,,,,0 ],4 ],6 )
5,1010.4,1012.8,164.0,56.0,19.5,9.0,25.0,27.7,22.8,30.4,17.9,86,52,4.1,13.6,東北東,22.7,東北東,174.5,18.9,,,,,0 ],2 ],2
6,1009.0,1011.4,160.0,47.5,23.0,9.5,27.2,29.9,24.8,32.9,20.3,88,46,4.2,10.4,南西,19.6,西南西,192.3,20.5,,,,,0 ),0 ),2
7,1009.9,1012.2,132.0,33.5,27.0,11.5,30.1,33.3,27.1,34.7,25.1,78,55,4.0,12.4,南,19.4,南南東,306.8,24.7,,,,,0 ),0 ),3
8,1004.1,1006.4,274.0,72.0,26.5,14.0,29.2,32.6,26.2,34.3,24.4,84,55,3.6,13.7,南南西,22.7,南南西,222.5,19.5,,,,,0 ),0 ),7 )
9,1006.0,1008.3,270.5,86.5,62.0,17.5,28.6,31.4,26.1,32.4,22.2,84,54,5.1,18.4,南東,31.5,南東,203.3,18.2,,,,,0,0,7
10,1010.7,1013.0,16.5,5.5,5.0,5.0,27.9,30.7,25.4,31.6,19.5,80,51,4.5,9.4,東,14.3,南東,238.1,17.5,,,,,0 ),0 ),0 )
11,1014.2,1016.6,146.0,38.5,24.0,11.0,24.8,27.5,22.5,31.8,13.5,77,43,4.5,9.9,東北東,14.8,東,112.4,10.6,,,,,0 ),0 ),2 )
12,1016.5,1018.9,43.0,12.5,7.5,5.5,19.2,22.6,15.5,25.8,10.6,69,41,4.0,11.5,北北東,19.2,北北東,120.3,9.8,,,,,0 ),0 ),0 )
