地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,26.0,+3.0,かなり高い,33.0,72,平年並,39.7,93,平年並
旧東,26.0,+2.7,／,36.0,95,／,／,／,／
北大東,26.3,+2.7,／,36.0,115,／,／,／,／
