日,日降水量(mm),日最大1時間降水量(mm),日最大10分間降水量(mm),日平均気温(℃),日最高気温(℃),日最低気温(℃),日平均湿度(％),日最小湿度(％),日平均風速(m/s),日最大風速(m/s),日最大風向(16方位),日最大瞬間風速(m/s),日最大瞬間風向(16方位),日最多風向(16方位),日照時間(h),日降雪の深さ合計(cm),日最深積雪(cm)
1,13.0,12.0,5.5,28.3,31.7,25.9,///,///,5.6,9.3,北北東,12.9,北北東,北,///,///,///
2,0.0,0.0,0.0,28.6,31.1,27.3,///,///,3.0,4.6,北西,5.7,西北西,北北西,///,///,///
3,0.0,0.0,0.0,28.9,31.6,25.9,///,///,4.4,7.9,南東,9.3,南,南東,///,///,///
4,0.5,0.5,0.5,28.3,30.3,26.5,///,///,5.7,9.2,南東,10.8,南,南南東,///,///,///
5,28.5,22.0,9.0,28.6,31.5,25.9,///,///,4.5,9.0,南西,12.3,南西,南,///,///,///
6,0.0,0.0,0.0,28.9,31.6,26.8,///,///,3.0,4.9,南,6.2,南,南西,///,///,///
7,0.0,0.0,0.0,28.6,31.6,26.6,///,///,3.7,5.5,南,7.2,南南東,南,///,///,///
8,0.0,0.0,0.0,29.0,31.8,26.6,///,///,4.0,6.7,南,8.2,南,南,///,///,///
9,0.0,0.0,0.0,28.9,31.7,27.2,///,///,4.6,6.9,南,8.7,南,南,///,///,///
10,0.0,0.0,0.0,29.2,31.6,27.2,///,///,3.6,6.2,南南東,7.2,南,南,///,///,///
11,0.5,0.5,0.5,29.4,31.9,25.9,///,///,7.1,11.3,東南東,13.4,東南東,東南東,///,///,///
12,0.0,0.0,0.0,29.7,31.6,28.1,///,///,8.9,11.1,東南東,12.9,東南東,東南東,///,///,///
13,0.5,0.5,0.5,29.6,32.0,27.7,///,///,6.8,8.4,東南東,11.8,東南東,東南東,///,///,///
14,0.0,0.0,0.0,29.8,32.4,27.9,///,///,7.3,8.7,東北東,10.8,東,東,///,///,///
15,1.0,1.0,1.0,29.8,32.6,27.2,///,///,6.8,8.8,東北東,11.3,東,東北東,///,///,///
16,0.5,0.5,0.5,29.4,32.2,27.3,///,///,6.3,10.1,東,12.3,東南東,東,///,///,///
17,16.0,11.5,4.0,29.1,32.1,25.0,///,///,5.3,9.1,東南東,10.8,南東,東南東,///,///,///
18,6.5,4.0,3.0,27.9,30.2,25.4,///,///,3.5,9.4,東,12.9,東,南,///,///,///
19,0.0,0.5,0.0,29.2,31.2,27.6,///,///,8.8,10.6,南東,12.3,南東,南東,///,///,///
20,0.0,0.0,0.0,29.6,32.3,28.1,///,///,5.3,9.3,南東,11.3,南東,南,///,///,///
21,3.0,2.5,1.5,29.0,31.5,26.4,///,///,2.3,6.4,南東,6.7,南東,南南東,///,///,///
22,0.0,0.0,0.0,29.3,32.2,26.3,///,///,2.2,4.8,東,5.7,東,東北東,///,///,///
23,0.0,0.0,0.0,29.7,32.0,26.7,///,///,3.5,5.9,東,7.2,東北東,東北東,///,///,///
24,0.0,0.0,0.0,29.8,32.6,27.5,///,///,4.7,7.1,南東,9.3,東南東,東,///,///,///
25,0.0,0.0,0.0,29.9,32.3,28.3,///,///,4.8,6.8,東南東,7.7,東南東,東南東,///,///,///
26,0.0,0.0,0.0,29.7,32.5,28.1,///,///,4.4,6.4,東,7.7,東,東,///,///,///
27,0.0,0.0,0.0,29.4,32.3,28.1,///,///,3.7,6.2,東北東,7.7,東,東,///,///,///
28,0.5,0.5,0.5,29.6,32.1,28.0,///,///,5.2,9.9,東,12.3,東,東,///,///,///
29,8.0,4.5,2.0,28.5,32.1,26.3,///,///,7.4,13.6,東北東,16.5,東北東,東,///,///,///
30,6.0,5.5,4.0,29.0,31.9,26.9,///,///,7.9,13.3,南東,15.4,南東,南東,///,///,///
31,0.0,0.0,0.0,29.7,32.0,28.4,///,///,6.4,8.1,南東,10.3,南東,東南東,///,///,///
