地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,28.6,+0.1,平年並,27.0,67,平年並,93.0,105,平年並
旧東,29.0,+0.1,／,17.5,41,／,／,／,／
北大東,29.4,+0.2,／,17.5,38,／,／,／,／
