地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,29.0,+0.4,高い,16.0,41,平年並,92.4,108,平年並
旧東,28.8,-0.2,／,20.5,83,／,／,／,／
北大東,29.4,+0.1,／,25.0,90,／,／,／,／
