日,日降水量(mm),日最大1時間降水量(mm),日最大10分間降水量(mm),日平均気温(℃),日最高気温(℃),日最低気温(℃),日平均湿度(％),日最小湿度(％),日平均風速(m/s),日最大風速(m/s),日最大風向(16方位),日最大瞬間風速(m/s),日最大瞬間風向(16方位),日最多風向(16方位),日照時間(h),日降雪の深さ合計(cm),日最深積雪(cm)
1,9.0,8.5,4.0,28.1,31.4,25.4,///,///,4.5,7.5,北北東,10.3,北東,北北東,///,///,///
2,1.5,1.5,1.5,28.6,31.8,26.7,///,///,2.0,3.5,北,5.7,北西,西北西,///,///,///
3,0.0,0.0,0.0,28.8,31.7,26.6,///,///,2.8,6.1,南南西,8.7,南南西,南東,///,///,///
4,3.5,2.5,2.0,28.0,30.5,26.1,///,///,4.2,7.3,西南西,11.3,西南西,南西,///,///,///
5,17.5,17.0,7.5,28.5,31.6,25.4,///,///,3.7,6.8,南南西,10.3,南西,南南西,///,///,///
6,0.0,0.0,0.0,28.5,31.3,26.6,///,///,2.3,4.1,南南東,6.7,南南西,南南西,///,///,///
7,0.0,0.0,0.0,28.2,31.5,26.0,///,///,2.9,5.0,南南西,7.2,南,南南西,///,///,///
8,0.0,0.0,0.0,28.7,32.4,26.0,///,///,3.4,6.3,南南西,8.7,南西,南南西,///,///,///
9,1.0,1.0,1.0,28.3,31.9,26.4,///,///,3.3,5.8,南南西,8.2,南南西,南南西,///,///,///
10,0.0,0.0,0.0,28.7,32.2,26.7,///,///,2.5,4.6,南西,6.7,南南西,南,///,///,///
11,1.5,1.5,1.5,28.8,31.6,26.0,///,///,2.6,5.0,南東,9.8,東南東,南東,///,///,///
12,0.0,0.0,0.0,29.2,31.7,28.0,///,///,3.3,4.7,南東,9.3,南東,南東,///,///,///
13,1.0,0.5,0.5,29.1,31.8,26.8,///,///,2.5,4.0,南東,7.7,東南東,東南東,///,///,///
14,0.0,0.0,0.0,29.3,32.0,27.5,///,///,2.9,4.6,東北東,7.7,東,東北東,///,///,///
15,0.5,0.5,0.5,29.2,32.2,27.2,///,///,4.1,7.1,北東,9.8,北東,北東,///,///,///
16,1.5,1.5,1.0,28.9,32.0,26.2,///,///,2.4,3.9,北東,7.2,東,東,///,///,///
17,13.0,12.0,4.5,28.5,31.8,25.1,///,///,2.5,4.6,南南西,7.7,東南東,南東,///,///,///
18,1.5,9.0,0.5,27.6,29.7,25.5,///,///,2.6,5.7,南南西,8.2,南東,南南西,///,///,///
19,0.5,0.5,0.5,28.8,30.8,27.7,///,///,4.5,6.3,南東,9.3,南東,南東,///,///,///
20,1.0,1.0,1.0,29.0,31.9,27.2,///,///,3.4,5.4,南,7.7,南南西,南,///,///,///
21,0.0,0.0,0.0,28.8,31.6,26.6,///,///,1.6,3.1,南東,6.7,東北東,南東,///,///,///
22,0.0,0.0,0.0,29.0,32.0,26.5,///,///,1.3,2.8,東北東,4.6,北西,東北東,///,///,///
23,0.0,0.0,0.0,29.2,32.3,26.5,///,///,2.0,3.3,東北東,5.1,東北東,東北東,///,///,///
24,2.0,2.0,1.0,29.2,32.4,26.9,///,///,2.3,4.4,北東,7.7,北東,東北東,///,///,///
25,0.5,0.5,0.5,29.2,32.4,27.6,///,///,2.0,3.4,東,6.2,東南東,東,///,///,///
26,0.0,0.0,0.0,29.2,31.9,27.4,///,///,1.9,3.4,東,6.7,東北東,東北東,///,///,///
27,0.0,0.0,0.0,29.0,31.9,27.3,///,///,2.0,4.5,北東,6.7,東北東,東北東,///,///,///
28,0.0,0.0,0.0,29.3,32.1,27.4,///,///,2.2,4.5,北東,7.7,東北東,東北東,///,///,///
29,7.5,3.0,2.5,28.2,31.3,26.4,///,///,3.4,7.5,北東,12.3,北東,東北東,///,///,///
30,6.5,3.0,2.5,28.7,31.9,26.1,///,///,3.5,7.3,南東,10.8,南東,南東,///,///,///
31,1.0,1.0,1.0,29.0,31.6,26.9,///,///,2.5,4.2,南東,7.2,南東,南東,///,///,///
