要素名／順位,1位,2位,3位,4位,5位,6位,7位,8位,9位,10位,統計期間
日降水量 (mm),243.5 (1997/8/16),205.0 (2000/8/6),179.0 (2012/8/26),176.0 (2021/8/6),172.5 (1986/8/25),162.5 (1996/8/6),150.5 (1952/8/3),132.5 (1978/8/2),121.8 (1959/8/5),118.5 (1966/8/18),1942/8 2025/8
日最大10分間降水量 (mm),26.5 (2021/8/6),24.5 (1966/8/15),23.4 (1948/8/21),22.0 (1952/8/3),20.9 (1942/8/20),20.0 (1948/8/22),19.6 (1959/8/19),19.5 (1965/8/30),18.5 (1990/8/6),18.0 (2022/8/31),1942/8 2025/8
日最大1時間降水量 (mm),112.5 (2021/8/6),74.0 (1952/8/3),59.0 (1974/8/25),50.9 (1948/8/22),50.9 (1948/8/21),46.3 (1966/8/15),45.5 (2019/8/8),45.3 (1965/8/30),44.0 (2022/8/31),39.0 (1985/8/7),1942/8 2025/8
月最大24時間降水量 (mm),281.0 (1997/8/16),279.5 (2021/8/5),249.5 (2000/8/6),187.0 (1986/8/25),185.0 (2012/8/26),178.0 (1996/8/6),176.8 (1966/8/21),147.5 (1993/8/9),142.0 (1982/8/25),140.0 (1992/8/7),1946/8 2025/8
月降水量の多い方から (mm),667.6 (1966/8),433.5 (2012/8),352.0 (1997/8),350.0 (1996/8),347.5 (1959/8),347.0 (2000/8),345.5 (1978/8),324.5 (2021/8),324.0 (1985/8),323.5 (1982/8),1942/8 2025/8
月降水量の少ない方から (mm),10.0 (2015/8),14.0 (1981/8),16.0 (1969/8),27.4 (1961/8),48.0 (1994/8),49.0 (2001/8),52.5 (1998/8),52.5 (1980/8),53.5 (2017/8),55.4 (1958/8),1942/8 2025/8
日最高気温の高い方から (℃),34.6 (1991/8/9),34.5 (2022/8/22),34.3 (2024/8/14),34.3 (2024/8/13),34.3 (2017/8/17),34.3 (2017/8/16),34.3 (2017/8/13),34.3 (2017/8/12),34.3 (2017/8/10),34.2 (2017/8/14),1942/8 2025/8
日最高気温の低い方から (℃),25.8 (1973/8/14),25.9 (1974/8/28),26.1 (1975/8/30),26.2 (2000/8/1),26.4 (1996/8/10),26.5 (2012/8/26),26.5 (1982/8/25),26.6 (1975/8/24),26.6 (1945/8/2),26.9 (1993/8/9),1942/8 2025/8
日最低気温の高い方から (℃),29.6 (2017/8/5),29.5 (2017/8/10),29.4 (2017/8/12),29.3 (2017/8/11),29.0 (2024/8/22),28.9 (2022/8/24),28.9 (2009/8/3),28.8 (2016/8/24),28.8 (2005/8/30),28.8 (1998/8/20),1942/8 2025/8
日最低気温の低い方から (℃),19.7 (1971/8/14),20.0 (1964/8/28),20.1 (1967/8/5),20.6 (1948/8/16),20.7 (1974/8/5),20.7 (1967/8/6),20.8 (1967/8/4),20.8 (1948/8/17),20.9 (1969/8/17),21.0 (1996/8/19),1942/8 2025/8
月平均気温の高い方から (℃),30.2 (2017/8),29.5 (1998/8),29.3 (2022/8),29.3 (2013/8),29.2 (2024/8),29.2 (2016/8),29.1 (2020/8),29.1 (2004/8),29.0 (2019/8),29.0 (2009/8),1942/8 2025/8
月平均気温の低い方から (℃),26.6 (1949/8),26.7 (1996/8),26.7 (1943/8),27.0 (1973/8),27.1 (1982/8),27.1 (1978/8),27.1 (1946/8),27.1 (1944/8),27.3 (1985/8),27.4 (2000/8),1942/8 2025/8
日最小相対湿度 (%),50 (2016/8/30),50 (2001/8/11),50 (2001/8/10),51 (2016/8/31),51 (1981/8/24),52 (2016/8/29),52 (2009/8/28),52 (2005/8/22),52 (2004/8/3),52 (1974/8/5),1957/8 2025/8
日最大風速・風向 (m/s),38.8 南南東 (2000/8/6),30.5 東北東 (1986/8/25),29.2 南西 (2022/8/31),29.2 北西 (2014/8/7),29.2 南南西 (1974/8/25),27.8 南 (1949/8/14),27.2 東 (2012/8/26),27.1 南南東 (1951/8/18),27.0 南南東 (1993/8/9),26.8 東北東 (1997/8/16),1942/8 2025/8
日最大瞬間風速・風向 (m/s),61.5 南 (2000/8/6),53.5 東 (1986/8/25),50.1 南南東 (1993/8/9),46.9 東北東 (1997/8/16),46.3 南南西 (1974/8/25),44.5 北 (2014/8/7),43.9 南南東 (1959/8/5),42.7 南南東 (1993/8/8),42.0 東 (1997/8/17),41.7 南西 (2022/8/31),1942/8 2025/8
月間日照時間の多い方から (時間),314.6 (1998/8),297.2 (1995/8),293.9 (1980/8),290.3 (2003/8),288.9 (1969/8),287.9 (1981/8),287.9 (1952/8),287.8 (1943/8),286.3 (1993/8),285.5 (1948/8),1943/8 2025/8
月間日照時間の少ない方から (時間),158.0 (1985/8),173.7 (1960/8),179.1 (1949/8),180.2 (2023/8),183.6 (1956/8),189.8 (1978/8),189.9 (1992/8),190.5 (1957/8),190.6 (1975/8),193.6 (2012/8),1943/8 2025/8
降雪の深さ日合計 (cm),-- (2019/8/31),-- (2019/8/30),-- (2019/8/29),-- (2019/8/28),-- (2019/8/27),-- (2019/8/26),-- (2019/8/25),-- (2019/8/24),-- (2019/8/23),-- (2019/8/22),1953/8 2019/8
降雪の深さ月合計 (cm),-- (2019/8),-- (2018/8),-- (2017/8),-- (2016/8),-- (2015/8),-- (2014/8),-- (2013/8),-- (2012/8),-- (2011/8),-- (2010/8),1953/8 2019/8
月最深積雪の大きい方から (cm),-- (2019/8),-- (2018/8),-- (2017/8),-- (2016/8),-- (2015/8),-- (2014/8),-- (2013/8),-- (2012/8),-- (2011/8),-- (2010/8),1942/8 2019/8
月最深積雪の小さい方から (cm),-- (2019/8),-- (2018/8),-- (2017/8),-- (2016/8),-- (2015/8),-- (2014/8),-- (2013/8),-- (2012/8),-- (2011/8),-- (2010/8),1942/8 2019/8
