地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,28.5,-0.1,平年並,20.0,28,平年並,90.3,121,多い
旧東,28.4,-0.5,／,32.5,61,／,／,／,／
北大東,28.7,-0.6,／,42.0,81,／,／,／,／
