地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,28.7,+0.1,平年並,63.0,42,少ない,275.7,111,多い
旧東,28.8,-0.1,／,70.5,58,／,／,／,／
北大東,29.2,+0.0,／,84.5,67,／,／,／,／
