年,種別,現象,観測日,平年値,最早日,最晩日
2026,ひかんざくら,開花,3月2日,1月20日,1月4日 (2002年),3月3日 (2025年)
2026,ひかんざくら,満開,-,2月5日,1月21日 (2013年),3月1日 (2016年)
2026,すすき,開花,-,10月24日,9月18日 (2005年),11月13日 (2017年)
