地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,19.9,+0.4,平年並,22.5,27,少ない,197.1,128,かなり多い
旧東,20.0,+0.5,／,19.5,28,／,／,／,／
北大東,20.2,+0.6,／,12.5,18,／,／,／,／
