地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,18.5,-0.9,低い,17.0,55,平年並,70.1,139,かなり多い
旧東,18.7,-0.7,／,13.5,71,／,／,／,／
北大東,18.9,-0.7,／,10.0,56,／,／,／,／
