地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,19.7,+0.9,高い,5.5,21,少ない,45.4,102,平年並
旧東,19.8,+0.7,／,6.0,22,／,／,／,／
北大東,20.1,+0.9,／,1.5,5,／,／,／,／
