地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,21.5,+1.3,高い,0.0,0,かなり少ない,81.6,138,かなり多い
旧東,21.4,+1.4,／,0.0,0,／,／,／,／
北大東,21.6,+1.5,／,1.0,4,／,／,／,／
