地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,28.3,+3.4,かなり高い,7.0,9,少ない,82.8,134,かなり多い
旧東,28.1,+2.8,／,6.5,11,／,／,／,／
北大東,28.5,+2.9,／,8.0,13,／,／,／,／
