地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,27.6,+1.7,かなり高い,3.0,6,少ない,85.8,157,かなり多い
旧東,27.7,+1.4,／,1.5,3,／,／,／,／
北大東,28.2,+1.7,／,5.0,8,／,／,／,／
