要素名／順位,1位,2位,3位,4位,5位,6位,7位,8位,9位,10位,統計期間
日降水量 (mm),222.0 (2014/10/4),198.5 (2010/10/26),194.5 (1997/10/23),186.5 (1996/10/23),164.0 (2009/10/6),164.0 (1996/10/18),153.5 (1983/10/9),142.0 (1971/10/12),134.1 (1951/10/7),132.4 (1961/10/1),1942/10 2025/10
日最大10分間降水量 (mm),30.0 (1979/10/26),19.5 (2010/10/26),18.5 (1972/10/14),18.0 (2016/10/14),18.0 (1987/10/10),17.5 (1969/10/5),17.0 (1959/10/12),16.5 (1999/10/18),16.5 (1974/10/10),16.5 (1956/10/4),1942/10 2025/10
日最大1時間降水量 (mm),84.0 (1979/10/26),61.0 (1972/10/15),61.0 (1972/10/14),60.0 (2010/10/26),58.0 (2014/10/4),53.0 (1982/10/15),52.5 (1987/10/10),52.0 (1996/10/23),51.5 (2016/10/15),51.5 (2016/10/14),1942/10 2025/10
月最大24時間降水量 (mm),223.5 (2014/10/4),218.5 (2009/10/7),206.0 (1997/10/23),205.5 (2010/10/26),186.5 (1996/10/23),173.5 (1981/10/1),154.0 (1983/10/9),152.0 (1971/10/12),143.6 (1961/10/2),143.5 (2013/10/23),1946/10 2025/10
月降水量の多い方から (mm),518.0 (1959/10),490.5 (2010/10),467.0 (2013/10),453.0 (1996/10),435.6 (1951/10),341.5 (1970/10),315.5 (1997/10),310.0 (2009/10),308.5 (1949/10),302.0 (2014/10),1942/10 2025/10
月降水量の少ない方から (mm),14.0 (1989/10),14.7 (1966/10),16.5 (2024/10),30.0 (2005/10),33.5 (1965/10),34.5 (2006/10),48.3 (1952/10),49.5 (2019/10),57.0 (2001/10),59.3 (1950/10),1942/10 2025/10
日最高気温の高い方から (℃),33.1 (2025/10/6),33.0 (2015/10/2),33.0 (2015/10/1),33.0 (1947/10/5),32.7 (2025/10/8),32.7 (2025/10/7),32.7 (2025/10/5),32.7 (2025/10/4),32.7 (1947/10/4),32.6 (2017/10/17),1942/10 2025/10
日最高気温の低い方から (℃),21.3 (1997/10/31),22.1 (1942/10/25),22.2 (1982/10/27),22.3 (1959/10/30),22.3 (1957/10/31),22.9 (1982/10/26),23.1 (1982/10/25),23.3 (1996/10/22),23.3 (1993/10/31),23.3 (1986/10/30),1942/10 2025/10
日最低気温の高い方から (℃),28.0 (2025/10/7),27.9 (2017/10/9),27.7 (1962/10/2),27.6 (2023/10/8),27.6 (2021/10/11),27.6 (2017/10/7),27.6 (2016/10/5),27.5 (2024/10/30),27.4 (2024/10/31),27.4 (2024/10/6),1942/10 2025/10
日最低気温の低い方から (℃),12.9 (1965/10/20),13.7 (1972/10/31),14.2 (2003/10/27),14.3 (1968/10/28),14.6 (1969/10/29),14.7 (1965/10/23),14.8 (1979/10/23),15.0 (1966/10/25),15.1 (1969/10/28),15.2 (2002/10/29),1942/10 2025/10
月平均気温の高い方から (℃),27.9 (2024/10),27.7 (2025/10),27.6 (2016/10),27.3 (2017/10),27.0 (1998/10),26.7 (2007/10),26.6 (1995/10),26.5 (2019/10),26.5 (2005/10),26.4 (2010/10),1942/10 2025/10
月平均気温の低い方から (℃),23.5 (1965/10),23.8 (1966/10),23.9 (1968/10),24.1 (1982/10),24.2 (1981/10),24.2 (1976/10),24.2 (1957/10),24.2 (1954/10),24.3 (1972/10),24.3 (1963/10),1942/10 2025/10
日最小相対湿度 (%),38 (1996/10/5),40 (2023/10/19),40 (2023/10/17),40 (2006/10/25),40 (1997/10/13),42 (2006/10/16),42 (2006/10/8),42 (2005/10/24),42 (2005/10/23),42 (2003/10/26),1957/10 2025/10
日最大風速・風向 (m/s),39.8 北東 (1961/10/2),39.1 南南東 (2009/10/7),38.8 南東 (2009/10/6),37.8 南南東 (1949/10/27),32.3 北 (1961/10/1),31.0 南 (2010/10/29),30.1 南 (1988/10/7),28.4 南南東 (2013/10/24),28.4 南 (1981/10/21),27.7 北西 (2014/10/4),1942/10 2025/10
