月,旬,旬合計降水量(mm),旬間最大日降水量(mm),旬間最大1時間降水量(mm),旬間最大10分間降水量(mm),旬間平均日平均気温(℃),旬間平均日最高気温(℃),旬間平均日最低気温(℃),旬間最高日気温(℃),旬間最低日気温(℃),旬間平均湿度(％),旬間最小湿度(％),旬間平均風速(m/s),旬間最大風速(m/s),旬間最大風向(16方位),旬間最大瞬間風速(m/s),旬間最大瞬間風向(16方位),旬間日照時間(h),旬合計降雪深(cm),旬最大日降雪深(cm),旬最深積雪(cm)
1,上旬,23.5,12.5,4.5,3.5,19.0,22.0,15.9,23.0,12.2,///,///,5.6,15.1,東南東,17.5,東南東,///,///,///,///
1,中旬,0.0,0.0,0.0,0.0,19.5,22.1,16.7,24.7,12.1,///,///,5.9,11.9,東,16.5,北西,///,///,///,///
1,下旬,18.5,16.5,14.5,5.0,18.3,20.8,16.3,24.2,14.0,///,///,6.3,11.0,北西,15.9,北北西,///,///,///,///
2,上旬,26.5,24.0,7.5,2.5,20.0,22.9,17.3,25.8,14.5,///,///,4.3,9.8,南,13.4,北西,///,///,///,///
2,中旬,0.5,0.5,0.5,0.5,20.7,23.4,18.6,25.9,16.4,///,///,6.0,12.0,東,14.4,南東,///,///,///,///
2,下旬,0.0,0.0,0.0,0.0,21.1,24.3,18.3,26.8,17.2,///,///,6.3,14.4,南東,18.0,南東,///,///,///,///
3,上旬,33.5,14.5,10.0,4.0,19.3,21.7,17.1,25.8,14.2,///,///,7.1,14.2,南南東,17.0,南東,///,///,///,///
3,中旬,22.5,21.0,19.5,13.5,19.9,22.4,17.8,24.3,15.8,///,///,6.7,15.9,南南東,20.1,西,///,///,///,///
3,下旬,4.5,2.5,1.5,1.0,21.6,24.5,19.0,26.4,11.0,///,///,5.6,10.9,南南東,13.9,南南東,///,///,///,///
4,上旬,45.0,31.0,30.5,12.0,23.7,26.3,22.0,28.7,20.4,///,///,5.7,12.1,東北東,18.0,西,///,///,///,///
4,中旬,47.5,34.0,8.5,2.5,22.8,25.1,20.8,26.9,19.8,///,///,5.1,15.2,南東,18.0,南東,///,///,///,///
4,下旬,167.5,102.0,60.0,14.5,24.3,26.8,22.5,29.2,21.6,///,///,4.4,12.0,西北西,19.0,西北西,///,///,///,///
5,上旬,11.0,8.0,2.5,1.5,24.1,27.0,22.4,29.9,20.8,///,///,5.3,12.9,東,15.4,東,///,///,///,///
5,中旬,68.5,28.5,18.5,7.0,24.1,26.6,22.4,28.8,21.3,///,///,5.1,12.1,南東,13.9,南東,///,///,///,///
5,下旬,45.5,18.0,6.5,2.0,26.5,29.0,24.7,31.2,23.3,///,///,5.1,20.1,東,24.7,北北東,///,///,///,///
6,上旬,88.0,41.0,15.0,6.5,25.2,27.9,22.8,30.0,20.0,///,///,5.5,12.2,北北東,15.9,北東,///,///,///,///
6,中旬,42.5,16.5,7.0,5.0,27.5,30.2,25.5,31.5,24.2,///,///,5.7,11.8,南西,16.5,南西,///,///,///,///
6,下旬,8.5,5.0,5.0,3.5,29.5,32.5,27.1,33.2,25.4,///,///,4.3,7.9,南東,10.3,南東,///,///,///,///
7,上旬,3.0,2.5,2.5,2.5,30.9,34.1,29.0,34.8,27.3,///,///,4.1,9.1,南東,10.8,南東,///,///,///,///
7,中旬,8.5,7.5,7.5,3.5,31.0,34.2,28.5,35.1,26.6,///,///,4.5,11.7,東南東,13.9,東,///,///,///,///
7,下旬,39.0,23.0,8.5,5.0,30.1,32.8,27.5,34.3,25.8,///,///,7.5,15.5,南南東,20.1,南南東,///,///,///,///
8,上旬,7.5,7.5,6.5,6.5,30.6,33.7,28.1,34.4,26.4,///,///,4.5,11.6,東南東,17.5,東,///,///,///,///
8,中旬,17.0,11.5,6.5,3.5,30.1,33.6,27.1,35.1,26.2,///,///,3.5,14.6,南,19.5,南南東,///,///,///,///
8,下旬,276.0,137.5,42.0,18.0,29.1,31.8,26.4,33.0,22.5,///,///,5.3,15.7,南,22.1,南南西,///,///,///,///
9,上旬,90.5,22.0,19.5,7.5,29.2,32.1,26.2,32.9,24.7,///,///,5.0,15.1,南東,19.5,南東,///,///,///,///
9,中旬,59.5,27.0,13.5,6.5,29.1,31.0,27.0,32.5,25.7,///,///,11.5,24.4,南東,31.4,東南東,///,///,///,///
9,下旬,96.0,71.5,58.5,19.5,28.8,31.7,26.6,33.7,22.3,///,///,5.9,18.2,北北東,28.3,北,///,///,///,///
10,上旬,3.5,3.0,3.0,1.5,28.2,30.7,26.3,31.9,24.1,///,///,5.7,10.4,東,12.9,東北東,///,///,///,///
10,中旬,5.0,4.5,3.5,1.5,28.2,31.1,26.3,31.5,23.2,///,///,6.4,11.6,東北東,14.9,東北東,///,///,///,///
10,下旬,8.0,3.5,3.0,1.5,28.5,30.9,26.9,31.4,25.3,///,///,8.5,13.9,東南東,18.0,南南東,///,///,///,///
11,上旬,43.5,42.0,24.0,8.5,26.8,28.8,25.3,31.6,23.3,///,///,7.9,14.2,東,18.0,東北東,///,///,///,///
11,中旬,36.0,34.0,23.5,7.0,26.3,28.9,24.6,29.7,22.2,///,///,5.6,10.6,北,13.9,北,///,///,///,///
11,下旬,68.5,34.5,12.0,5.5,22.1,24.3,20.4,27.7,18.4,///,///,6.4,12.1,東北東,15.4,北西,///,///,///,///
12,上旬,10.5,6.5,3.0,1.0,21.4,24.0,19.1,26.3,13.8,///,///,6.1,16.0,北,22.1,北北東,///,///,///,///
12,中旬,14.5,6.5,4.0,2.0,19.6,22.1,17.1,23.7,14.6,///,///,5.5,12.6,北北東,17.5,北,///,///,///,///
12,下旬,5.0,3.0,3.0,2.0,19.3,21.4,17.4,25.8,15.7,///,///,5.9,10.1,北北西,14.4,北北西,///,///,///,///
