日,日降水量(mm),日最大1時間降水量(mm),日最大10分間降水量(mm),日平均気温(℃),日最高気温(℃),日最低気温(℃),日平均湿度(％),日最小湿度(％),日平均風速(m/s),日最大風速(m/s),日最大風向(16方位),日最大瞬間風速(m/s),日最大瞬間風向(16方位),日最多風向(16方位),日照時間(h),日降雪の深さ合計(cm),日最深積雪(cm)
1,0.0,0.0,0.0,27.6,30.8,24.1,///,///,2.3,5.0,南東,6.2,南東,南東,///,///,///
2,0.0,0.0,0.0,28.6,29.8,28.0,///,///,6.0,8.6,南東,9.8,南東,南南東,///,///,///
3,0.0,0.0,0.0,29.1,31.4,27.9,///,///,7.4,10.3,南東,12.9,南東,南東,///,///,///
4,0.0,0.0,0.0,28.9,31.2,27.5,///,///,7.6,10.0,東南東,11.3,東,東,///,///,///
5,0.0,0.0,0.0,28.9,31.9,27.2,///,///,7.9,9.6,東,11.3,東北東,東北東,///,///,///
6,0.5,0.5,0.5,28.9,31.5,27.1,///,///,8.0,10.4,東,12.9,東北東,東北東,///,///,///
7,0.0,0.0,0.0,28.6,31.1,27.0,///,///,4.5,6.6,東北東,8.2,東北東,東北東,///,///,///
8,0.0,0.0,0.0,27.4,30.6,24.6,///,///,2.0,3.6,北,6.7,北東,北,///,///,///
9,3.0,3.0,1.5,26.9,29.5,24.2,///,///,5.7,7.5,北北西,10.8,北北西,北北西,///,///,///
10,0.0,0.0,0.0,27.1,29.5,25.7,///,///,5.2,8.3,北,10.8,北北西,北北西,///,///,///
11,0.0,0.0,0.0,27.2,30.7,23.2,///,///,3.9,6.1,北北東,8.2,北東,北東,///,///,///
12,0.0,0.0,0.0,28.0,30.8,25.3,///,///,6.2,9.2,東北東,10.8,北東,北東,///,///,///
13,0.0,0.0,0.0,28.2,31.0,27.1,///,///,8.5,10.5,北東,12.9,東北東,北東,///,///,///
14,0.0,0.0,0.0,28.2,31.5,26.5,///,///,8.1,11.6,東北東,14.9,東北東,東北東,///,///,///
15,0.0,0.0,0.0,28.4,30.9,26.8,///,///,4.7,7.3,東,8.2,東,東南東,///,///,///
16,0.0,0.0,0.0 ),28.3,31.4 ),27.0 ),///,///,5.6 ),10.1 ),東 ),11.3 ),東 ),東南東,///,///,///
17,0.5,0.5,0.5,28.4,30.6,26.2,///,///,7.7,10.7,東,12.3,東,東,///,///,///
18,0.0,0.0,0.0,28.5,31.2,27.4,///,///,7.9,10.5,東,11.3,東,東,///,///,///
19,0.0,0.0,0.0,28.8,31.3,27.4,///,///,5.1,7.9,東南東,8.7,東南東,東,///,///,///
20,4.5,3.5,1.5,28.0,31.5,25.8,///,///,5.9,10.9,東北東,14.9,東北東,東北東,///,///,///
21,0.0,0.0,0.0,28.4,30.8,27.3,///,///,8.8,11.7,東,13.9,東,東,///,///,///
22,0.0,0.0,0.0,28.5,30.8,27.2,///,///,9.2,11.4,東,13.4,東,東,///,///,///
23,0.0,0.0,0.0,28.6,31.1,27.3,///,///,8.2,11.1,東南東,13.9,東南東,東,///,///,///
24,1.0,1.0,1.0,28.4,30.4,26.5,///,///,10.5,13.5,東南東,18.0,南南東,東南東,///,///,///
25,0.0,0.0,0.0,28.5,30.9,27.6,///,///,11.1,13.9,東南東,15.9,東,東,///,///,///
26,0.0,0.0,0.0,28.3,30.7,26.6,///,///,9.3,11.4,東,13.4,東北東,東,///,///,///
27,3.0,2.0,1.5,28.1,30.7,25.4,///,///,8.4,11.4,東南東,14.4,東南東,東北東,///,///,///
28,0.5,2.0,0.5,28.4,31.0,25.3,///,///,6.8,9.0,東,10.8,東,東,///,///,///
29,3.5,3.0,1.5,28.5,30.6,27.0,///,///,7.9,10.8,東南東,12.3,東南東,東南東,///,///,///
30,0.0,0.0,0.0,28.8,31.0,27.7,///,///,6.2,7.7,南東,8.7,南東,東南東,///,///,///
31,0.0,0.0,0.0,28.8,31.4,27.7,///,///,7.3,8.8,東南東,10.3,東南東,東南東,///,///,///
